Year,State,Number Observations
2020,Pennsylvania,243
2020,New York,227
2020,Ohio,159
2020,Maryland,127
2020,Massachusetts,86
2020,Michigan,70
2020,North Carolina,70
2020,Conneticut,67
2020,New Jersey,62
2020,Tennessee,60
