Year,State,Number Observations
2015,Pennsylvania,415
2015,New York,301
2015,Ohio,216
2015,Maryland,163
2015,Conneticut,140
2015,Tennessee,120
2015,New Jersey,117
2015,Illinois,107
2015,Michigan,98
2015,North Carolina,93
