Year,State,Number Observations
1990,Ohio,689
1990,New York,202
1990,Maryland,152
1990,Pennsylvania,149
1990,Tennessee,140
1990,New Jersey,117
1990,Massachusetts,97
1990,Indiana,97
1990,Michigan,79
1990,Illinois,76
