Year,State,Number Observations
2005,Ohio,302
2005,New York,242
2005,Pennsylvania,191
2005,Maryland,91
2005,Illinois,84
2005,Michigan,77
2005,Texas,76
2005,Conneticut,68
2005,Massachusetts,68
2005,Indiana,55
