Year,State,Number Observations
1995,Pennsylvania,245
1995,New York,163
1995,Maryland,143
1995,Massachusetts,134
1995,New Jersey,86
1995,Ohio,83
1995,Delaware,64
1995,Michigan,50
1995,Illinois,47
1995,Georgia,44
