Year,State,Number Observations
2010,New York,305
2010,Maryland,269
2010,Pennsylvania,189
2010,Ohio,152
2010,New Jersey,121
2010,Georgia,118
2010,Conneticut,110
2010,Massachusetts,99
2010,Texas,68
2010,Delaware,63
