Location ID,Location,Value
AL-001,Autauga County,65.7
AL-003,Baldwin County,68.7
AL-005,Barbour County,66.5
AL-007,Bibb County,64
AL-009,Blount County,62.4
AL-011,Bullock County,66.2
AL-013,Butler County,66.2
AL-015,Calhoun County,63.2
AL-017,Chambers County,63.5
AL-019,Cherokee County,62.5
AL-021,Chilton County,64.1
AL-023,Choctaw County,65.9
AL-025,Clarke County,66.5
AL-027,Clay County,62.5
AL-029,Cleburne County,62.2
AL-031,Coffee County,67
AL-033,Colbert County,61.3
AL-035,Conecuh County,66.7
AL-037,Coosa County,63.7
AL-039,Covington County,67.1
AL-041,Crenshaw County,66
AL-043,Cullman County,61.7
AL-045,Dale County,67.5
AL-047,Dallas County,65.8
AL-049,DeKalb County,60.8
AL-051,Elmore County,65.7
AL-053,Escambia County,67.4
AL-055,Etowah County,62.8
AL-057,Fayette County,63.1
AL-059,Franklin County,61.2
AL-061,Geneva County,68
AL-063,Greene County,64.8
AL-065,Hale County,64.8
AL-067,Henry County,67.6
AL-069,Houston County,68.5
AL-071,Jackson County,60.9
AL-073,Jefferson County,63.4
AL-075,Lamar County,63.1
AL-077,Lauderdale County,60.9
AL-079,Lawrence County,61
AL-081,Lee County,64.5
AL-083,Limestone County,61.3
AL-085,Lowndes County,66.6
AL-087,Macon County,65.9
AL-089,Madison County,61.6
AL-091,Marengo County,65.2
AL-093,Marion County,61.5
AL-095,Marshall County,61.8
AL-097,Mobile County,68.3
AL-099,Monroe County,66.7
AL-101,Montgomery County,66.8
AL-103,Morgan County,61.6
AL-105,Perry County,64.7
AL-107,Pickens County,64.2
AL-109,Pike County,66.2
AL-111,Randolph County,62.7
AL-113,Russell County,65.5
AL-115,St. Clair County,63.2
AL-117,Shelby County,63.6
AL-119,Sumter County,65
AL-121,Talladega County,63.5
AL-123,Tallapoosa County,63.8
AL-125,Tuscaloosa County,64.3
AL-127,Walker County,63
AL-129,Washington County,66.8
AL-131,Wilcox County,66.1
AL-133,Winston County,61.2
AZ-001,Apache County,51.9
AZ-003,Cochise County,62.2
AZ-005,Coconino County,54.1
AZ-007,Gila County,61.1
AZ-009,Graham County,62.2
AZ-011,Greenlee County,57.8
AZ-012,La Paz County,73
AZ-013,Maricopa County,72
AZ-015,Mohave County,63.8
AZ-017,Navajo County,53.3
AZ-019,Pima County,68.9
AZ-021,Pinal County,69.8
AZ-023,Santa Cruz County,61.7
AZ-025,Yavapai County,60.8
AZ-027,Yuma County,74.3
AR-001,Arkansas County,63.4
AR-003,Ashley County,64.6
AR-005,Baxter County,58.1
AR-007,Benton County,58.6
AR-009,Boone County,57.5
AR-011,Bradley County,64.1
AR-013,Calhoun County,63.6
AR-015,Carroll County,57.6
AR-017,Chicot County,64.8
AR-019,Clark County,62.9
AR-021,Clay County,59.4
AR-023,Cleburne County,59.7
AR-025,Cleveland County,63.2
AR-027,Columbia County,64
AR-029,Conway County,61.3
AR-031,Craighead County,60.3
AR-033,Crawford County,60.3
AR-035,Crittenden County,62.3
AR-037,Cross County,61.6
AR-039,Dallas County,62.8
AR-041,Desha County,63.9
AR-043,Drew County,64
AR-045,Faulkner County,61.4
AR-047,Franklin County,60.2
AR-049,Fulton County,58
AR-051,Garland County,61.9
AR-053,Grant County,62.8
AR-055,Greene County,59.7
AR-057,Hempstead County,63.4
AR-059,Hot Spring County,62.6
AR-061,Howard County,62.3
AR-063,Independence County,59.4
AR-065,Izard County,58.2
AR-067,Jackson County,60.5
AR-069,Jefferson County,63
AR-071,Johnson County,59.6
AR-073,Lafayette County,64.5
AR-075,Lawrence County,59.5
AR-077,Lee County,62.7
AR-079,Lincoln County,63.7
AR-081,Little River County,63.9
AR-083,Logan County,61
AR-085,Lonoke County,62.5
AR-087,Madison County,57.3
AR-089,Marion County,57.9
AR-091,Miller County,64.7
AR-093,Mississippi County,61.1
AR-095,Monroe County,62.8
AR-097,Montgomery County,61.5
AR-099,Nevada County,63.4
AR-101,Newton County,57.3
AR-103,Ouachita County,63.4
AR-105,Perry County,61.9
AR-107,Phillips County,63.2
AR-109,Pike County,62.1
AR-111,Poinsett County,61
AR-113,Polk County,60.6
AR-115,Pope County,60.3
AR-117,Prairie County,62.4
AR-119,Pulaski County,62.5
AR-121,Randolph County,59
AR-123,St. Francis County,62.2
AR-125,Saline County,62.1
AR-127,Scott County,61
AR-129,Searcy County,57.9
AR-131,Sebastian County,61.7
AR-133,Sevier County,63
AR-135,Sharp County,58.5
AR-137,Stone County,58.4
AR-139,Union County,64.2
AR-141,Van Buren County,59
AR-143,Washington County,58.2
AR-145,White County,61.2
AR-147,Woodruff County,61.6
AR-149,Yell County,61.6
CA-001,Alameda County,61
CA-003,Alpine County,46.3
CA-005,Amador County,60.4
CA-007,Butte County,62
CA-009,Calaveras County,60.6
CA-011,Colusa County,63.9
CA-013,Contra Costa County,62
CA-015,Del Norte County,54.7
CA-017,El Dorado County,56.3
CA-019,Fresno County,57.6
CA-021,Glenn County,62.6
CA-023,Humboldt County,56.5
CA-025,Imperial County,75.9
CA-027,Inyo County,62.4
CA-029,Kern County,63.8
CA-031,Kings County,65.6
CA-033,Lake County,59.9
CA-035,Lassen County,49.7
CA-037,Los Angeles County,64.1
CA-039,Madera County,58.4
CA-041,Marin County,58.3
CA-043,Mariposa County,57.5
CA-045,Mendocino County,58
CA-047,Merced County,64
CA-049,Modoc County,49.8
CA-051,Mono County,46.4
CA-053,Monterey County,60.8
CA-055,Napa County,61.6
CA-057,Nevada County,54.8
CA-059,Orange County,67
CA-061,Placer County,56
CA-063,Plumas County,50
CA-065,Riverside County,70
CA-067,Sacramento County,64.1
CA-069,San Benito County,61.1
CA-071,San Bernardino County,68.1
CA-073,San Diego County,64.9
CA-075,San Francisco County,59.4
CA-077,San Joaquin County,63.9
CA-079,San Luis Obispo County,61.4
CA-081,San Mateo County,59.2
CA-083,Santa Barbara County,61.2
CA-085,Santa Clara County,60.4
CA-087,Santa Cruz County,60.1
CA-089,Shasta County,58
CA-091,Sierra County,49.7
CA-093,Siskiyou County,51.9
CA-095,Solano County,62.8
CA-097,Sonoma County,59.4
CA-099,Stanislaus County,63.1
CA-101,Sutter County,65
CA-103,Tehama County,61.3
CA-105,Trinity County,55.6
CA-107,Tulare County,56.2
CA-109,Tuolumne County,52.5
CA-111,Ventura County,60.7
CA-113,Yolo County,63.9
CA-115,Yuba County,63
CO-001,Adams County,50.6
CO-003,Alamosa County,45
CO-005,Arapahoe County,50.2
CO-007,Archuleta County,45.2
CO-009,Baca County,55.1
CO-011,Bent County,55.6
CO-013,Boulder County,46.3
CO-014,Broomfield County,51.9
CO-015,Chaffee County,39.8
CO-017,Cheyenne County,53.1
CO-019,Clear Creek County,39.2
CO-021,Conejos County,42.4
CO-023,Costilla County,44
CO-025,Crowley County,53.8
CO-027,Custer County,43
CO-029,Delta County,48.4
CO-031,Denver County,51.9
CO-033,Dolores County,44.8
CO-035,Douglas County,48.4
CO-037,Eagle County,41.3
CO-039,Elbert County,49
CO-041,El Paso County,49.3
CO-043,Fremont County,46.9
CO-045,Garfield County,45.2
CO-047,Gilpin County,41.1
CO-049,Grand County,39.4
CO-051,Gunnison County,40
CO-053,Hinsdale County,37.9
CO-055,Huerfano County,48.2
CO-057,Jackson County,39.3
CO-059,Jefferson County,47.5
CO-061,Kiowa County,54.3
CO-063,Kit Carson County,52.8
CO-065,Lake County,36.2
CO-067,La Plata County,46.8
CO-069,Larimer County,44.2
CO-071,Las Animas County,52.6
CO-073,Lincoln County,51.2
CO-075,Logan County,51.2
CO-077,Mesa County,49
CO-079,Mineral County,38.4
CO-081,Moffat County,46.5
CO-083,Montezuma County,50.2
CO-085,Montrose County,49.1
CO-087,Morgan County,51
CO-089,Otero County,55.1
CO-091,Ouray County,43.4
CO-093,Park County,39.9
CO-095,Phillips County,51.7
CO-097,Pitkin County,39.3
CO-099,Prowers County,55.5
CO-101,Pueblo County,53.5
CO-103,Rio Blanco County,46.5
CO-105,Rio Grande County,41.9
CO-107,Routt County,42
CO-109,Saguache County,40.9
CO-111,San Juan County,37
CO-113,San Miguel County,46.4
CO-115,Sedgwick County,51.4
CO-117,Summit County,37.6
CO-119,Teller County,41.8
CO-121,Washington County,51.6
CO-123,Weld County,50
CO-125,Yuma County,53
CT-001,Fairfield County,51.4
CT-003,Hartford County,49.9
CT-005,Litchfield County,47.9
CT-007,Middlesex County,50.8
CT-009,New Haven County,50.9
CT-011,New London County,50.7
CT-013,Tolland County,48.9
CT-015,Windham County,49
DE-001,Kent County,56.2
DE-003,New Castle County,55.6
DE-005,Sussex County,56.9
FL-001,Alachua County,71.4
FL-003,Baker County,70.8
FL-005,Bay County,70.2
FL-007,Bradford County,71.1
FL-009,Brevard County,74.8
FL-011,Broward County,77.6
FL-013,Calhoun County,69.7
FL-015,Charlotte County,76
FL-017,Citrus County,73.2
FL-019,Clay County,71.7
FL-021,Collier County,76.9
FL-023,Columbia County,70.4
FL-027,DeSoto County,75.3
FL-029,Dixie County,71.8
FL-031,Duval County,71.4
FL-033,Escambia County,68.8
FL-035,Flagler County,72.8
FL-037,Franklin County,71.4
FL-039,Gadsden County,69.9
FL-041,Gilchrist County,71.5
FL-043,Glades County,76
FL-045,Gulf County,70.8
FL-047,Hamilton County,69.5
FL-049,Hardee County,75
FL-051,Hendry County,76.4
FL-053,Hernando County,73.8
