Location ID,Location,Value
CA-115,Yuba County,65.6
CO-001,Adams County,54.3
CO-003,Alamosa County,48.2
CO-005,Arapahoe County,53.7
CO-007,Archuleta County,48.9
CO-009,Baca County,57.8
CO-011,Bent County,58.3
CO-013,Boulder County,48.6
CO-014,Broomfield County,54.8
CO-015,Chaffee County,42.2
CO-017,Cheyenne County,56
CO-019,Clear Creek County,41.2
CO-021,Conejos County,45.4
CO-023,Costilla County,47.3
CO-025,Crowley County,56.5
CO-027,Custer County,45.7
CO-029,Delta County,51.9
CO-031,Denver County,54.8
CO-033,Dolores County,48.2
CO-035,Douglas County,50.5
CO-037,Eagle County,43.7
CO-039,Elbert County,52.2
CO-041,El Paso County,52.2
CO-043,Fremont County,49.2
CO-045,Garfield County,48
CO-047,Gilpin County,43.1
CO-049,Grand County,41.5
CO-051,Gunnison County,42.9
CO-053,Hinsdale County,40.8
CO-055,Huerfano County,51.5
CO-057,Jackson County,40.6
CO-059,Jefferson County,49.7
CO-061,Kiowa County,56.8
CO-063,Kit Carson County,55.7
CO-065,Lake County,38.4
CO-067,La Plata County,49.9
CO-069,Larimer County,46.2
CO-071,Las Animas County,55.6
CO-073,Lincoln County,54.4
CO-075,Logan County,54.1
CO-077,Mesa County,52.4
CO-079,Mineral County,41.4
CO-081,Moffat County,48.2
CO-083,Montezuma County,53.9
CO-085,Montrose County,52.7
CO-087,Morgan County,54.2
CO-089,Otero County,58.3
CO-091,Ouray County,46.5
CO-093,Park County,41.9
CO-095,Phillips County,54.3
CO-097,Pitkin County,42.4
CO-099,Prowers County,58.2
CO-101,Pueblo County,56.7
CO-103,Rio Blanco County,48.5
CO-105,Rio Grande County,44.6
CO-107,Routt County,43.9
CO-109,Saguache County,43.9
CO-111,San Juan County,39.8
CO-113,San Miguel County,49.8
CO-115,Sedgwick County,54.2
CO-117,Summit County,39.7
CO-119,Teller County,43.7
CO-121,Washington County,54.4
CO-123,Weld County,53.1
CO-125,Yuma County,55.4
CT-001,Fairfield County,55.8
CT-003,Hartford County,54.8
CT-005,Litchfield County,52.4
CT-007,Middlesex County,55.1
CT-009,New Haven County,55.2
CT-011,New London County,55
CT-013,Tolland County,53.8
CT-015,Windham County,53.9
DE-001,Kent County,60.3
DE-003,New Castle County,59.2
DE-005,Sussex County,61.4
FL-001,Alachua County,73.6
FL-003,Baker County,71.8
FL-005,Bay County,72.7
FL-007,Bradford County,73
FL-009,Brevard County,75.9
FL-011,Broward County,78.6
FL-013,Calhoun County,72.2
FL-015,Charlotte County,77.5
FL-017,Citrus County,75
FL-019,Clay County,74
FL-021,Collier County,77.7
FL-023,Columbia County,71.6
FL-027,DeSoto County,76.6
FL-029,Dixie County,73
FL-031,Duval County,73.4
FL-033,Escambia County,71.3
FL-035,Flagler County,75.1
FL-037,Franklin County,73.1
FL-039,Gadsden County,71.7
FL-041,Gilchrist County,72.8
FL-043,Glades County,76.8
FL-045,Gulf County,72.8
FL-047,Hamilton County,71
FL-049,Hardee County,76.3
FL-051,Hendry County,77.1
FL-053,Hernando County,75.8
FL-055,Highlands County,76.4
FL-057,Hillsborough County,76.8
FL-059,Holmes County,71.2
FL-061,Indian River County,76.2
FL-063,Jackson County,71.7
FL-065,Jefferson County,72.1
FL-067,Lafayette County,72.3
FL-069,Lake County,76
FL-071,Lee County,77.7
FL-073,Leon County,72
FL-075,Levy County,74
FL-077,Liberty County,72.3
FL-079,Madison County,71.7
FL-081,Manatee County,76.6
