Location ID,Location,Value
AL-001,Autauga County,64
AL-003,Baldwin County,67.4
AL-005,Barbour County,64.8
AL-007,Bibb County,63.1
AL-009,Blount County,61.3
AL-011,Bullock County,64.2
AL-013,Butler County,64.3
AL-015,Calhoun County,61.7
AL-017,Chambers County,62
AL-019,Cherokee County,61.1
AL-021,Chilton County,63
AL-023,Choctaw County,64.9
AL-025,Clarke County,65.4
AL-027,Clay County,61
AL-029,Cleburne County,60.6
AL-031,Coffee County,65.5
AL-033,Colbert County,60.6
AL-035,Conecuh County,65.2
AL-037,Coosa County,62.4
AL-039,Covington County,65.6
AL-041,Crenshaw County,64.3
AL-043,Cullman County,61
AL-045,Dale County,65.6
AL-047,Dallas County,64.4
AL-049,DeKalb County,59.7
AL-051,Elmore County,63.8
AL-053,Escambia County,66
AL-055,Etowah County,61.5
AL-057,Fayette County,62
AL-059,Franklin County,60.4
AL-061,Geneva County,66.5
AL-063,Greene County,64
AL-065,Hale County,63.9
AL-067,Henry County,65.7
AL-069,Houston County,66.7
AL-071,Jackson County,60.1
AL-073,Jefferson County,62.4
AL-075,Lamar County,62.2
AL-077,Lauderdale County,60.1
AL-079,Lawrence County,60.5
AL-081,Lee County,63.3
AL-083,Limestone County,60.6
AL-085,Lowndes County,64.6
AL-087,Macon County,64.2
AL-089,Madison County,60.6
AL-091,Marengo County,64.7
AL-093,Marion County,61
AL-095,Marshall County,60.9
AL-097,Mobile County,67
AL-099,Monroe County,65.3
AL-101,Montgomery County,64.6
AL-103,Morgan County,60.9
AL-105,Perry County,63.8
AL-107,Pickens County,63.1
AL-109,Pike County,64.5
AL-111,Randolph County,61
AL-113,Russell County,64.6
AL-115,St. Clair County,61.7
AL-117,Shelby County,62.4
AL-119,Sumter County,64.3
AL-121,Talladega County,62
AL-123,Tallapoosa County,62.2
AL-125,Tuscaloosa County,63.2
AL-127,Walker County,62
AL-129,Washington County,65.8
AL-131,Wilcox County,64.9
AL-133,Winston County,60.5
AZ-001,Apache County,51.6
AZ-003,Cochise County,62.3
AZ-005,Coconino County,53.5
AZ-007,Gila County,60.6
AZ-009,Graham County,62.1
AZ-011,Greenlee County,57.3
AZ-012,La Paz County,71.7
AZ-013,Maricopa County,71.1
AZ-015,Mohave County,62.7
AZ-017,Navajo County,53.1
AZ-019,Pima County,68.6
AZ-021,Pinal County,69.6
AZ-023,Santa Cruz County,62
AZ-025,Yavapai County,60.1
AZ-027,Yuma County,72.6
AR-001,Arkansas County,63.5
AR-003,Ashley County,64.9
AR-005,Baxter County,59.3
AR-007,Benton County,58.9
AR-009,Boone County,58.5
AR-011,Bradley County,64.1
AR-013,Calhoun County,63.8
AR-015,Carroll County,58.6
AR-017,Chicot County,64.7
AR-019,Clark County,63.5
AR-021,Clay County,60.4
AR-023,Cleburne County,60.8
AR-025,Cleveland County,63.7
AR-027,Columbia County,64.4
AR-029,Conway County,62
AR-031,Craighead County,61.4
AR-033,Crawford County,60.9
AR-035,Crittenden County,62.9
AR-037,Cross County,62.4
AR-039,Dallas County,63.5
AR-041,Desha County,63.7
AR-043,Drew County,64.1
AR-045,Faulkner County,62.2
AR-047,Franklin County,60.8
AR-049,Fulton County,58.7
AR-051,Garland County,62.1
AR-053,Grant County,63.6
AR-055,Greene County,60.8
AR-057,Hempstead County,64
AR-059,Hot Spring County,63.1
AR-061,Howard County,62.8
AR-063,Independence County,60.8
AR-065,Izard County,59.6
AR-067,Jackson County,61.7
AR-069,Jefferson County,63.6
AR-071,Johnson County,60.1
AR-073,Lafayette County,64.9
AR-075,Lawrence County,60.6
AR-077,Lee County,63
AR-079,Lincoln County,63.7
AR-081,Little River County,64.3
AR-083,Logan County,61.6
AR-085,Lonoke County,63
AR-087,Madison County,58.2
AR-089,Marion County,59
AR-091,Miller County,65.2
AR-093,Mississippi County,61.8
AR-095,Monroe County,63.2
AR-097,Montgomery County,61.5
AR-099,Nevada County,63.9
AR-101,Newton County,58
AR-103,Ouachita County,64
AR-105,Perry County,62.3
AR-107,Phillips County,63.4
AR-109,Pike County,62.6
AR-111,Poinsett County,62
AR-113,Polk County,60.9
AR-115,Pope County,60.7
AR-117,Prairie County,63
AR-119,Pulaski County,62.9
AR-121,Randolph County,59.8
AR-123,St. Francis County,62.7
AR-125,Saline County,62.6
AR-127,Scott County,61.3
AR-129,Searcy County,58.8
AR-131,Sebastian County,62
AR-133,Sevier County,63.2
AR-135,Sharp County,59.4
AR-137,Stone County,59.7
AR-139,Union County,64.3
AR-141,Van Buren County,60
AR-143,Washington County,58.9
AR-145,White County,62.1
AR-147,Woodruff County,62.5
AR-149,Yell County,62
CA-001,Alameda County,59.4
CA-003,Alpine County,43.9
CA-005,Amador County,58
CA-007,Butte County,59.5
CA-009,Calaveras County,58.2
CA-011,Colusa County,61
CA-013,Contra Costa County,60.1
CA-015,Del Norte County,52.6
CA-017,El Dorado County,53.8
CA-019,Fresno County,55.7
CA-021,Glenn County,59.9
CA-023,Humboldt County,54.3
CA-025,Imperial County,74
CA-027,Inyo County,60.9
CA-029,Kern County,61.9
CA-031,Kings County,63.9
CA-033,Lake County,56.8
CA-035,Lassen County,46.9
CA-037,Los Angeles County,61.4
CA-039,Madera County,56.2
CA-041,Marin County,56
CA-043,Mariposa County,55.4
CA-045,Mendocino County,55.3
CA-047,Merced County,62.7
CA-049,Modoc County,46.9
CA-051,Mono County,44.2
CA-053,Monterey County,59
CA-055,Napa County,59.4
CA-057,Nevada County,52.2
CA-059,Orange County,64.2
CA-061,Placer County,53.6
CA-063,Plumas County,47.6
CA-065,Riverside County,68.2
CA-067,Sacramento County,62.2
CA-069,San Benito County,59.2
CA-071,San Bernardino County,66.3
CA-073,San Diego County,62.8
CA-075,San Francisco County,57.3
CA-077,San Joaquin County,62.1
CA-079,San Luis Obispo County,59.6
CA-081,San Mateo County,57.1
CA-083,Santa Barbara County,58.6
CA-085,Santa Clara County,58.7
CA-087,Santa Cruz County,57.2
CA-089,Shasta County,55.1
CA-091,Sierra County,47.2
CA-093,Siskiyou County,49
CA-095,Solano County,61
CA-097,Sonoma County,57
CA-099,Stanislaus County,61.9
CA-101,Sutter County,62.8
CA-103,Tehama County,58.4
CA-105,Trinity County,52.4
CA-107,Tulare County,54.6
CA-109,Tuolumne County,50
CA-111,Ventura County,58.2
CA-113,Yolo County,62.1
CA-115,Yuba County,60.5
CO-001,Adams County,50.7
CO-003,Alamosa County,44.3
CO-005,Arapahoe County,50.2
CO-007,Archuleta County,44.3
CO-009,Baca County,54.8
CO-011,Bent County,54.8
CO-013,Boulder County,45.7
CO-014,Broomfield County,51.6
CO-015,Chaffee County,39
CO-017,Cheyenne County,52.8
CO-019,Clear Creek County,38.1
CO-021,Conejos County,41.3
CO-023,Costilla County,42.8
CO-025,Crowley County,53.2
CO-027,Custer County,42.6
CO-029,Delta County,47.9
CO-031,Denver County,51.7
CO-033,Dolores County,44.2
CO-035,Douglas County,47.8
CO-037,Eagle County,40
CO-039,Elbert County,48.9
CO-041,El Paso County,48.9
CO-043,Fremont County,46.6
CO-045,Garfield County,44.3
CO-047,Gilpin County,40.2
CO-049,Grand County,37.8
CO-051,Gunnison County,39.1
CO-053,Hinsdale County,36.5
CO-055,Huerfano County,47.7
CO-057,Jackson County,37.4
CO-059,Jefferson County,47.3
CO-061,Kiowa County,53.8
CO-063,Kit Carson County,52.4
CO-065,Lake County,35.2
CO-067,La Plata County,45.4
CO-069,Larimer County,43.2
CO-071,Las Animas County,51.9
CO-073,Lincoln County,51.1
CO-075,Logan County,51.4
CO-077,Mesa County,48.5
CO-079,Mineral County,37.1
CO-081,Moffat County,44.9
CO-083,Montezuma County,49.4
CO-085,Montrose County,48.7
CO-087,Morgan County,50.8
CO-089,Otero County,54.6
CO-091,Ouray County,42.6
CO-093,Park County,39.2
CO-095,Phillips County,51.6
CO-097,Pitkin County,38.5
CO-099,Prowers County,55
CO-101,Pueblo County,53.2
CO-103,Rio Blanco County,45.2
CO-105,Rio Grande County,40.4
CO-107,Routt County,40.5
CO-109,Saguache County,40.3
CO-111,San Juan County,35.6
CO-113,San Miguel County,45.8
CO-115,Sedgwick County,51.4
CO-117,Summit County,36.1
CO-119,Teller County,41.2
CO-121,Washington County,51.5
CO-123,Weld County,50
CO-125,Yuma County,52.8
CT-001,Fairfield County,50.9
CT-003,Hartford County,49.9
CT-005,Litchfield County,47.6
CT-007,Middlesex County,50.2
CT-009,New Haven County,50
CT-011,New London County,50.2
CT-013,Tolland County,48.9
CT-015,Windham County,49
DE-001,Kent County,55.5
DE-003,New Castle County,55
DE-005,Sussex County,56.2
FL-001,Alachua County,69.3
FL-003,Baker County,68.1
FL-005,Bay County,67.8
FL-007,Bradford County,68.9
FL-009,Brevard County,72.6
FL-011,Broward County,75.3
FL-013,Calhoun County,67.2
FL-015,Charlotte County,73.5
FL-017,Citrus County,70.3
FL-019,Clay County,69.1
FL-021,Collier County,75.2
FL-023,Columbia County,68
FL-027,DeSoto County,72.7
FL-029,Dixie County,68.5
FL-031,Duval County,68.9
FL-033,Escambia County,67.5
FL-035,Flagler County,70.2
FL-037,Franklin County,67.9
FL-039,Gadsden County,67.1
FL-041,Gilchrist County,68.5
FL-043,Glades County,73.3
FL-045,Gulf County,67.6
FL-047,Hamilton County,67.3
FL-049,Hardee County,72.4
FL-051,Hendry County,74.2
FL-053,Hernando County,70.6
FL-055,Highlands County,72.7
FL-057,Hillsborough County,72.2
FL-059,Holmes County,67.1
FL-061,Indian River County,72.4
FL-063,Jackson County,67.3
FL-065,Jefferson County,67.2
FL-067,Lafayette County,67.9
FL-069,Lake County,71.1
FL-071,Lee County,74.3
FL-073,Leon County,67.4
FL-075,Levy County,69.4
FL-077,Liberty County,67.3
FL-079,Madison County,67.2
FL-081,Manatee County,72.6
FL-083,Marion County,70.2
FL-085,Martin County,73.7
FL-086,Miami-Dade County,75.6
FL-087,Monroe County,76.1
FL-089,Nassau County,68.2
FL-091,Okaloosa County,66.9
FL-093,Okeechobee County,72.7
FL-095,Orange County,72.2
FL-097,Osceola County,72.5
FL-099,Palm Beach County,74.5
FL-101,Pasco County,71.2
FL-103,Pinellas County,72.7
FL-105,Polk County,72.3
FL-107,Putnam County,69.8
FL-109,St. Johns County,69.5
FL-111,St. Lucie County,73
FL-113,Santa Rosa County,67.3
FL-115,Sarasota County,73.2
FL-117,Seminole County,72.1
FL-119,Sumter County,70.6
FL-121,Suwannee County,67.8
FL-123,Taylor County,67.8
FL-125,Union County,68.5
FL-127,Volusia County,71.2
FL-129,Wakulla County,67.8
FL-131,Walton County,67
FL-133,Washington County,67.4
GA-001,Appling County,66.3
GA-003,Atkinson County,66.3
GA-005,Bacon County,66.4
GA-007,Baker County,66.2
GA-009,Baldwin County,63.4
GA-011,Banks County,60.9
GA-013,Barrow County,61
GA-015,Bartow County,60.9
GA-017,Ben Hill County,65.6
GA-019,Berrien County,66
GA-021,Bibb County,63.6
GA-023,Bleckley County,64.5
GA-025,Brantley County,66.6
GA-027,Brooks County,66.3
GA-029,Bryan County,66.5
GA-031,Bulloch County,65.7
GA-033,Burke County,64.3
GA-035,Butts County,62.1
GA-037,Calhoun County,65.8
GA-039,Camden County,67.5
GA-043,Candler County,65.6
GA-045,Carroll County,60.4
GA-047,Catoosa County,60.1
GA-049,Charlton County,67.6
GA-051,Chatham County,66.6
GA-053,Chattahoochee County,64.6
GA-055,Chattooga County,60.4
GA-057,Cherokee County,60.3
GA-059,Clarke County,61.3
GA-061,Clay County,65.6
GA-063,Clayton County,61.5
GA-065,Clinch County,66.9
GA-067,Cobb County,61
GA-069,Coffee County,66.1
GA-071,Colquitt County,65.9
GA-073,Columbia County,63.2
GA-075,Cook County,66.1
GA-077,Coweta County,61.5
GA-079,Crawford County,63.6
GA-081,Crisp County,64.8
GA-083,Dade County,59.2
GA-085,Dawson County,58.9
GA-087,Decatur County,66.8
GA-089,DeKalb County,61.1
GA-091,Dodge County,64.9
GA-093,Dooly County,64.4
GA-095,Dougherty County,66.1
GA-097,Douglas County,60.8
GA-099,Early County,66.1
GA-101,Echols County,67
GA-103,Effingham County,65.8
GA-105,Elbert County,61.2
GA-107,Emanuel County,64.9
GA-109,Evans County,66.1
GA-111,Fannin County,56.5
GA-113,Fayette County,61.6
GA-115,Floyd County,61
GA-117,Forsyth County,60
GA-119,Franklin County,61
GA-121,Fulton County,61.1
GA-123,Gilmer County,57.5
GA-125,Glascock County,63.2
GA-127,Glynn County,67
GA-129,Gordon County,60.7
GA-131,Grady County,66.7
GA-133,Greene County,62
GA-135,Gwinnett County,60.7
GA-137,Habersham County,59
GA-139,Hall County,60.1
GA-141,Hancock County,62.9
GA-143,Haralson County,59.9
GA-145,Harris County,63
GA-147,Hart County,60.9
GA-149,Heard County,61.5
GA-151,Henry County,61.8
GA-153,Houston County,64.2
GA-155,Irwin County,65.7
GA-157,Jackson County,61
GA-159,Jasper County,62.1
GA-161,Jeff Davis County,65.9
GA-163,Jefferson County,63.8
GA-165,Jenkins County,64.9
GA-167,Johnson County,64.3
GA-169,Jones County,63
GA-171,Lamar County,62.4
GA-173,Lanier County,66.4
GA-175,Laurens County,64.7
GA-177,Lee County,65.5
GA-179,Liberty County,66.8
GA-181,Lincoln County,62.5
GA-183,Long County,66.6
GA-185,Lowndes County,66.5
GA-187,Lumpkin County,58
GA-189,McDuffie County,62.8
GA-191,McIntosh County,67
GA-193,Macon County,64
GA-195,Madison County,60.9
GA-197,Marion County,64
GA-199,Meriwether County,62.2
GA-201,Miller County,66.3
GA-205,Mitchell County,66.3
GA-207,Monroe County,62.7
GA-209,Montgomery County,65.5
GA-211,Morgan County,61.9
GA-213,Murray County,59.6
GA-215,Muscogee County,64.3
GA-217,Newton County,61.5
GA-219,Oconee County,61.5
GA-221,Oglethorpe County,61.3
GA-223,Paulding County,60.6
GA-225,Peach County,63.8
GA-227,Pickens County,59.1
GA-229,Pierce County,66.6
GA-231,Pike County,62.3
GA-233,Polk County,60.6
GA-235,Pulaski County,64.7
GA-237,Putnam County,62.5
GA-239,Quitman County,65.2
GA-241,Rabun County,56.7
GA-243,Randolph County,65.2
GA-245,Richmond County,64
GA-247,Rockdale County,61.4
GA-249,Schley County,64
GA-251,Screven County,65.1
GA-253,Seminole County,66.8
GA-255,Spalding County,62.1
GA-257,Stephens County,60.9
GA-259,Stewart County,64.8
GA-261,Sumter County,64.6
GA-263,Talbot County,63.3
GA-265,Taliaferro County,62.1
GA-267,Tattnall County,66.2
GA-269,Taylor County,63.7
GA-271,Telfair County,65.6
GA-273,Terrell County,65.3
GA-275,Thomas County,66.5
GA-277,Tift County,65.6
GA-279,Toombs County,65.9
GA-281,Towns County,55.9
GA-283,Treutlen County,65
GA-285,Troup County,62.2
GA-287,Turner County,65.2
GA-289,Twiggs County,64
GA-291,Union County,56.2
GA-293,Upson County,63
GA-295,Walker County,59.7
GA-297,Walton County,61.2
GA-299,Ware County,67
GA-301,Warren County,62.6
GA-303,Washington County,63.8
GA-305,Wayne County,66.4
GA-307,Webster County,64.6
GA-309,Wheeler County,65.5
GA-311,White County,58.2
GA-313,Whitfield County,60.1
GA-315,Wilcox County,65
GA-317,Wilkes County,62
GA-319,Wilkinson County,64
GA-321,Worth County,65.6
ID-001,Ada County,51.5
ID-003,Adams County,43.6
ID-005,Bannock County,44.7
ID-007,Bear Lake County,40.5
ID-009,Benewah County,45.8
ID-011,Bingham County,43.8
ID-013,Blaine County,42.2
ID-015,Boise County,43.6
ID-017,Bonner County,43.5
ID-019,Bonneville County,41.8
ID-021,Boundary County,40.8
ID-023,Butte County,41.1
ID-025,Camas County,41.3
ID-027,Canyon County,51.6
ID-029,Caribou County,41.9
ID-031,Cassia County,46.2
ID-033,Clark County,40.1
ID-035,Clearwater County,44.2
ID-037,Custer County,38.5
ID-039,Elmore County,46.9
ID-041,Franklin County,44.2
ID-043,Fremont County,39.7
ID-045,Gem County,48.8
ID-047,Gooding County,48.2
ID-049,Idaho County,42.1
ID-051,Jefferson County,42.9
ID-053,Jerome County,48.4
ID-055,Kootenai County,45.7
ID-057,Latah County,46.6
ID-059,Lemhi County,39.6
ID-061,Lewis County,45.9
ID-063,Lincoln County,46.2
ID-065,Madison County,42.4
ID-067,Minidoka County,46.2
ID-069,Nez Perce County,49.1
ID-071,Oneida County,45.8
ID-073,Owyhee County,47.6
ID-075,Payette County,50.8
ID-077,Power County,45.2
ID-079,Shoshone County,43
ID-081,Teton County,39.7
ID-083,Twin Falls County,47.7
ID-085,Valley County,39.4
ID-087,Washington County,47.6
IL-001,Adams County,54.4
IL-003,Alexander County,58.7
IL-005,Bond County,55.8
IL-007,Boone County,49.5
IL-009,Brown County,54.2
IL-011,Bureau County,51.4
IL-013,Calhoun County,55.8
IL-015,Carroll County,50
IL-017,Cass County,54.3
IL-019,Champaign County,52.9
IL-021,Christian County,54.4
IL-023,Clark County,54.3
IL-025,Clay County,55.8
IL-027,Clinton County,56.5
IL-029,Coles County,54.1
IL-031,Cook County,51.1
IL-033,Crawford County,55.4
IL-035,Cumberland County,54.6
IL-037,DeKalb County,50.2
IL-039,De Witt County,52.8
IL-041,Douglas County,53.8
IL-043,DuPage County,50.9
IL-045,Edgar County,53.3
IL-047,Edwards County,56.6
IL-049,Effingham County,55.4
IL-051,Fayette County,55.6
IL-053,Ford County,52.1
IL-055,Franklin County,56.8
IL-057,Fulton County,53.4
IL-059,Gallatin County,57.8
IL-061,Greene County,55.3
IL-063,Grundy County,51.8
IL-065,Hamilton County,56.8
IL-067,Hancock County,53.8
IL-069,Hardin County,58
IL-071,Henderson County,52.6
IL-073,Henry County,51.6
IL-075,Iroquois County,52.2
IL-077,Jackson County,57.3
IL-079,Jasper County,55
IL-081,Jefferson County,56.4
IL-083,Jersey County,55.8
IL-085,Jo Daviess County,49.2
IL-087,Johnson County,57.9
IL-089,Kane County,50.4
IL-091,Kankakee County,52
IL-093,Kendall County,51.4
IL-095,Knox County,52.1
IL-097,Lake County,49.8
IL-099,LaSalle County,51.6
IL-101,Lawrence County,56.1
IL-103,Lee County,50.4
IL-105,Livingston County,52.1
IL-107,Logan County,53.4
IL-109,McDonough County,53.2
IL-111,McHenry County,49.3
IL-113,McLean County,52.2
IL-115,Macon County,53.5
IL-117,Macoupin County,55.1
IL-119,Madison County,56.5
IL-121,Marion County,56
IL-123,Marshall County,52.1
IL-125,Mason County,54
IL-127,Massac County,58.7
IL-129,Menard County,53.9
IL-131,Mercer County,51.9
IL-133,Monroe County,57.5
IL-135,Montgomery County,54.9
IL-137,Morgan County,54.5
IL-139,Moultrie County,54.1
IL-141,Ogle County,50
IL-143,Peoria County,52.8
IL-145,Perry County,57
IL-147,Piatt County,53.2
IL-149,Pike County,54.8
IL-151,Pope County,58
IL-153,Pulaski County,58.6
IL-155,Putnam County,52.1
IL-157,Randolph County,57.6
IL-159,Richland County,55.8
IL-161,Rock Island County,51.7
IL-163,St. Clair County,57.3
IL-165,Saline County,57.5
IL-167,Sangamon County,54.2
IL-169,Schuyler County,53.9
IL-171,Scott County,54.8
IL-173,Shelby County,54.8
IL-175,Stark County,51.7
IL-177,Stephenson County,49.4
IL-179,Tazewell County,53.2
IL-181,Union County,57.8
IL-183,Vermilion County,52.7
IL-185,Wabash County,56.8
IL-187,Warren County,52.1
IL-189,Washington County,56.6
IL-191,Wayne County,56.4
IL-193,White County,57.2
IL-195,Whiteside County,51
IL-197,Will County,51.7
IL-199,Williamson County,57.3
IL-201,Winnebago County,49.7
IL-203,Woodford County,52.3
IN-001,Adams County,51.2
IN-003,Allen County,50.7
IN-005,Bartholomew County,54.3
IN-007,Benton County,51.7
IN-009,Blackford County,51.6
IN-011,Boone County,51.6
IN-013,Brown County,53.8
IN-015,Carroll County,51.7
IN-017,Cass County,51.4
IN-019,Clark County,56
IN-021,Clay County,53.7
IN-023,Clinton County,51.6
IN-025,Crawford County,55.8
IN-027,Daviess County,55.2
IN-029,Dearborn County,54.1
IN-031,Decatur County,53.5
IN-033,DeKalb County,49.8
IN-035,Delaware County,51.7
IN-037,Dubois County,55.6
IN-039,Elkhart County,50
IN-041,Fayette County,52.4
IN-043,Floyd County,55.9
IN-045,Fountain County,52.7
IN-047,Franklin County,53.2
IN-049,Fulton County,50.9
IN-051,Gibson County,56.8
IN-053,Grant County,51.5
IN-055,Greene County,54.3
IN-057,Hamilton County,52.2
IN-059,Hancock County,52.5
IN-061,Harrison County,56
IN-063,Hendricks County,52.3
IN-065,Henry County,51.7
IN-067,Howard County,51.6
IN-069,Huntington County,51.2
IN-071,Jackson County,54.8
IN-073,Jasper County,51.4
IN-075,Jay County,51.3
IN-077,Jefferson County,55.2
IN-079,Jennings County,54.7
IN-081,Johnson County,53.2
IN-083,Knox County,56
IN-085,Kosciusko County,50.2
IN-087,LaGrange County,49.8
IN-089,Lake County,51.3
IN-091,LaPorte County,50.5
IN-093,Lawrence County,54.3
IN-095,Madison County,52
IN-097,Marion County,52.9
IN-099,Marshall County,50.3
IN-101,Martin County,54.6
IN-103,Miami County,51.4
IN-105,Monroe County,53.8
IN-107,Montgomery County,51.9
IN-109,Morgan County,53.4
IN-111,Newton County,51.7
IN-113,Noble County,49.8
IN-115,Ohio County,54.7
IN-117,Orange County,54.8
IN-119,Owen County,53.7
IN-121,Parke County,53
IN-123,Perry County,56.8
IN-125,Pike County,56
IN-127,Porter County,50.8
IN-129,Posey County,57.6
IN-131,Pulaski County,51.2
IN-133,Putnam County,52.5
IN-135,Randolph County,51
IN-137,Ripley County,53.8
IN-139,Rush County,52.5
IN-141,St. Joseph County,50.1
IN-143,Scott County,55.5
IN-145,Shelby County,53.3
IN-147,Spencer County,57.2
IN-149,Starke County,50.8
IN-151,Steuben County,49.2
IN-153,Sullivan County,54.9
IN-155,Switzerland County,55
IN-157,Tippecanoe County,52.1
IN-159,Tipton County,51.7
IN-161,Union County,52.5
IN-163,Vanderburgh County,57.5
IN-165,Vermillion County,53.3
IN-167,Vigo County,54
IN-169,Wabash County,51.2
IN-171,Warren County,52.3
IN-173,Warrick County,56.9
IN-175,Washington County,54.8
IN-177,Wayne County,51.7
IN-179,Wells County,51.3
IN-181,White County,51.5
IN-183,Whitley County,50.3
IA-001,Adair County,50.2
IA-003,Adams County,51.1
IA-005,Allamakee County,47.5
IA-007,Appanoose County,52
IA-009,Audubon County,49.5
IA-011,Benton County,49.1
IA-013,Black Hawk County,48.3
IA-015,Boone County,49.7
IA-017,Bremer County,47.6
IA-019,Buchanan County,48.2
IA-021,Buena Vista County,48.4
IA-023,Butler County,48
IA-025,Calhoun County,49
IA-027,Carroll County,49.4
IA-029,Cass County,50.5
IA-031,Cedar County,50.4
IA-033,Cerro Gordo County,47.4
IA-035,Cherokee County,48.8
IA-037,Chickasaw County,46.6
IA-039,Clarke County,51.4
IA-041,Clay County,47.8
IA-043,Clayton County,47.7
IA-045,Clinton County,50.4
IA-047,Crawford County,49.5
IA-049,Dallas County,50.6
IA-051,Davis County,52.2
IA-053,Decatur County,51.8
