Location ID,Location,Value
AL-001,Autauga County,65.9
AL-003,Baldwin County,68.1
AL-005,Barbour County,67.3
AL-007,Bibb County,64.6
AL-009,Blount County,62.8
AL-011,Bullock County,66.5
AL-013,Butler County,66.2
AL-015,Calhoun County,62.9
AL-017,Chambers County,63.9
AL-019,Cherokee County,62.4
AL-021,Chilton County,64.9
AL-023,Choctaw County,66.2
AL-025,Clarke County,66.5
AL-027,Clay County,62.8
AL-029,Cleburne County,62
AL-031,Coffee County,67.2
AL-033,Colbert County,61.8
AL-035,Conecuh County,66.8
AL-037,Coosa County,64.4
AL-039,Covington County,67
AL-041,Crenshaw County,66.3
AL-043,Cullman County,62.3
AL-045,Dale County,67.7
AL-047,Dallas County,66.3
AL-049,DeKalb County,60.9
AL-051,Elmore County,65.7
AL-053,Escambia County,67.4
AL-055,Etowah County,62.8
AL-057,Fayette County,63.5
AL-059,Franklin County,61.7
AL-061,Geneva County,67.9
AL-063,Greene County,65.5
AL-065,Hale County,65.5
AL-067,Henry County,67.9
AL-069,Houston County,68.5
AL-071,Jackson County,61
AL-073,Jefferson County,64
AL-075,Lamar County,63.5
AL-077,Lauderdale County,61.3
AL-079,Lawrence County,62
AL-081,Lee County,65.2
AL-083,Limestone County,61.6
AL-085,Lowndes County,66.4
AL-087,Macon County,66.3
AL-089,Madison County,61.6
AL-091,Marengo County,66.2
AL-093,Marion County,62.4
AL-095,Marshall County,62.1
AL-097,Mobile County,67.8
AL-099,Monroe County,66.6
AL-101,Montgomery County,66.4
AL-103,Morgan County,62.1
AL-105,Perry County,65.5
AL-107,Pickens County,64.4
AL-109,Pike County,66.8
AL-111,Randolph County,62.6
AL-113,Russell County,66.5
AL-115,St. Clair County,63.3
AL-117,Shelby County,64.3
AL-119,Sumter County,65.8
AL-121,Talladega County,63.8
AL-123,Tallapoosa County,64.3
AL-125,Tuscaloosa County,64.5
AL-127,Walker County,63.5
AL-129,Washington County,66.9
AL-131,Wilcox County,66.4
AL-133,Winston County,62
AZ-001,Apache County,49.8
AZ-003,Cochise County,60.9
AZ-005,Coconino County,52
AZ-007,Gila County,58.9
AZ-009,Graham County,60.3
AZ-011,Greenlee County,55.6
AZ-012,La Paz County,70.9
AZ-013,Maricopa County,69.8
AZ-015,Mohave County,61.8
AZ-017,Navajo County,51.2
AZ-019,Pima County,66.9
AZ-021,Pinal County,68.3
AZ-023,Santa Cruz County,60.3
AZ-025,Yavapai County,58.6
AZ-027,Yuma County,71.7
AR-001,Arkansas County,63.6
AR-003,Ashley County,65
AR-005,Baxter County,58.9
AR-007,Benton County,58.8
AR-009,Boone County,58.4
AR-011,Bradley County,64.4
AR-013,Calhoun County,64.1
AR-015,Carroll County,58.4
AR-017,Chicot County,65.2
AR-019,Clark County,62.9
AR-021,Clay County,60.3
AR-023,Cleburne County,60.6
AR-025,Cleveland County,63.8
AR-027,Columbia County,64.5
AR-029,Conway County,61.7
AR-031,Craighead County,61.3
AR-033,Crawford County,60.7
AR-035,Crittenden County,62.8
AR-037,Cross County,62.3
AR-039,Dallas County,63.3
AR-041,Desha County,64.4
AR-043,Drew County,64.4
AR-045,Faulkner County,62.1
AR-047,Franklin County,60.6
AR-049,Fulton County,58.3
AR-051,Garland County,61.9
AR-053,Grant County,63.3
AR-055,Greene County,60.7
AR-057,Hempstead County,63.5
AR-059,Hot Spring County,62.7
AR-061,Howard County,62.3
AR-063,Independence County,60.4
AR-065,Izard County,59.2
AR-067,Jackson County,61.3
AR-069,Jefferson County,63.6
AR-071,Johnson County,59.9
AR-073,Lafayette County,64.7
AR-075,Lawrence County,60.3
AR-077,Lee County,62.9
AR-079,Lincoln County,64.1
AR-081,Little River County,63.7
AR-083,Logan County,61.3
AR-085,Lonoke County,62.9
AR-087,Madison County,58
AR-089,Marion County,58.9
AR-091,Miller County,64.8
AR-093,Mississippi County,62
AR-095,Monroe County,63
AR-097,Montgomery County,61.1
AR-099,Nevada County,63.6
AR-101,Newton County,58
AR-103,Ouachita County,64.1
AR-105,Perry County,62.2
AR-107,Phillips County,63.3
AR-109,Pike County,62.1
AR-111,Poinsett County,61.8
AR-113,Polk County,60.3
AR-115,Pope County,60.6
AR-117,Prairie County,62.9
AR-119,Pulaski County,62.9
AR-121,Randolph County,59.5
AR-123,St. Francis County,62.6
AR-125,Saline County,62.6
AR-127,Scott County,60.9
AR-129,Searcy County,58.9
AR-131,Sebastian County,61.5
AR-133,Sevier County,62.8
AR-135,Sharp County,59.1
AR-137,Stone County,59.5
AR-139,Union County,64.8
AR-141,Van Buren County,60
AR-143,Washington County,59
AR-145,White County,61.9
AR-147,Woodruff County,62.3
AR-149,Yell County,61.7
CA-001,Alameda County,58.7
CA-003,Alpine County,43.4
CA-005,Amador County,57
CA-007,Butte County,59.1
CA-009,Calaveras County,57.5
CA-011,Colusa County,60.7
CA-013,Contra Costa County,59.7
CA-015,Del Norte County,51.1
CA-017,El Dorado County,53.2
CA-019,Fresno County,55.1
CA-021,Glenn County,59.6
CA-023,Humboldt County,53.1
CA-025,Imperial County,72.8
CA-027,Inyo County,60.6
CA-029,Kern County,61.4
CA-031,Kings County,62.9
CA-033,Lake County,56.4
CA-035,Lassen County,46
CA-037,Los Angeles County,61.5
CA-039,Madera County,55.7
CA-041,Marin County,55.7
CA-043,Mariposa County,54.8
CA-045,Mendocino County,54.6
CA-047,Merced County,61.8
CA-049,Modoc County,45.7
CA-051,Mono County,43.7
CA-053,Monterey County,57.9
CA-055,Napa County,58.9
CA-057,Nevada County,51.6
CA-059,Orange County,64
CA-061,Placer County,53
CA-063,Plumas County,46.6
CA-065,Riverside County,67.6
CA-067,Sacramento County,61.6
CA-069,San Benito County,58.4
CA-071,San Bernardino County,66
CA-073,San Diego County,62.4
CA-075,San Francisco County,56.5
CA-077,San Joaquin County,61.4
CA-079,San Luis Obispo County,58.5
CA-081,San Mateo County,56.2
CA-083,Santa Barbara County,58
CA-085,Santa Clara County,58
CA-087,Santa Cruz County,56.7
CA-089,Shasta County,54.3
CA-091,Sierra County,46.2
CA-093,Siskiyou County,48
CA-095,Solano County,60.7
CA-097,Sonoma County,56.7
CA-099,Stanislaus County,60.9
CA-101,Sutter County,62.2
CA-103,Tehama County,57.9
CA-105,Trinity County,51.7
CA-107,Tulare County,54
CA-109,Tuolumne County,49.5
CA-111,Ventura County,57.6
CA-113,Yolo County,61.6
CA-115,Yuba County,59.9
CO-001,Adams County,49.8
CO-003,Alamosa County,42.3
CO-005,Arapahoe County,49.4
CO-007,Archuleta County,42.8
CO-009,Baca County,53.3
CO-011,Bent County,53.3
CO-013,Boulder County,44.7
CO-014,Broomfield County,50.7
CO-015,Chaffee County,38
CO-017,Cheyenne County,51.3
CO-019,Clear Creek County,37
CO-021,Conejos County,39.7
CO-023,Costilla County,41.5
CO-025,Crowley County,51.6
CO-027,Custer County,41.1
CO-029,Delta County,46.9
CO-031,Denver County,50.7
CO-033,Dolores County,42.9
CO-035,Douglas County,46.9
CO-037,Eagle County,39.5
CO-039,Elbert County,47.6
CO-041,El Paso County,47.5
CO-043,Fremont County,45.4
CO-045,Garfield County,43.8
CO-047,Gilpin County,39.5
CO-049,Grand County,37.4
CO-051,Gunnison County,38.7
CO-053,Hinsdale County,35.5
CO-055,Huerfano County,46.6
CO-057,Jackson County,36.8
CO-059,Jefferson County,46.1
CO-061,Kiowa County,52.2
CO-063,Kit Carson County,50.7
CO-065,Lake County,34.6
CO-067,La Plata County,44.1
CO-069,Larimer County,42.1
CO-071,Las Animas County,50.6
CO-073,Lincoln County,49.5
CO-075,Logan County,49.9
CO-077,Mesa County,47.7
CO-079,Mineral County,36
CO-081,Moffat County,44.1
CO-083,Montezuma County,48.4
CO-085,Montrose County,47.6
CO-087,Morgan County,49.4
CO-089,Otero County,53.1
CO-091,Ouray County,41.6
CO-093,Park County,38.2
CO-095,Phillips County,50
CO-097,Pitkin County,38
CO-099,Prowers County,53.5
CO-101,Pueblo County,51.9
CO-103,Rio Blanco County,44.3
CO-105,Rio Grande County,38.8
CO-107,Routt County,39.6
CO-109,Saguache County,39.2
CO-111,San Juan County,34.7
CO-113,San Miguel County,44.7
CO-115,Sedgwick County,50.2
CO-117,Summit County,35.6
CO-119,Teller County,39.8
CO-121,Washington County,49.8
CO-123,Weld County,48.7
CO-125,Yuma County,51
CT-001,Fairfield County,52
CT-003,Hartford County,51.6
CT-005,Litchfield County,49.1
CT-007,Middlesex County,52
CT-009,New Haven County,52
CT-011,New London County,51.8
CT-013,Tolland County,50.4
CT-015,Windham County,50.4
DE-001,Kent County,57.1
DE-003,New Castle County,56.2
DE-005,Sussex County,57.8
FL-001,Alachua County,71
FL-003,Baker County,69.7
FL-005,Bay County,69.4
FL-007,Bradford County,70.6
FL-009,Brevard County,74.4
FL-011,Broward County,76.5
FL-013,Calhoun County,69
FL-015,Charlotte County,75.2
FL-017,Citrus County,72.2
FL-019,Clay County,70.9
FL-021,Collier County,76.2
FL-023,Columbia County,69.7
FL-027,DeSoto County,74.5
FL-029,Dixie County,70.4
FL-031,Duval County,70.7
FL-033,Escambia County,68.3
FL-035,Flagler County,72.1
FL-037,Franklin County,69.7
FL-039,Gadsden County,69.1
FL-041,Gilchrist County,70.3
FL-043,Glades County,75.1
FL-045,Gulf County,69.3
FL-047,Hamilton County,69.2
FL-049,Hardee County,74.2
FL-051,Hendry County,75.6
FL-053,Hernando County,72.4
FL-055,Highlands County,74.7
FL-057,Hillsborough County,73.9
FL-059,Holmes County,68.4
FL-061,Indian River County,74.3
FL-063,Jackson County,69.2
FL-065,Jefferson County,69.4
FL-067,Lafayette County,69.8
FL-069,Lake County,72.9
FL-071,Lee County,75.7
FL-073,Leon County,69.3
FL-075,Levy County,70.9
FL-077,Liberty County,69.1
FL-079,Madison County,69.3
FL-081,Manatee County,74.2
FL-083,Marion County,71.9
FL-085,Martin County,75.3
FL-086,Miami-Dade County,76.8
FL-087,Monroe County,77.4
FL-089,Nassau County,70
FL-091,Okaloosa County,68.3
FL-093,Okeechobee County,74.5
FL-095,Orange County,74
FL-097,Osceola County,74.3
FL-099,Palm Beach County,76
FL-101,Pasco County,72.8
FL-103,Pinellas County,74.4
FL-105,Polk County,74.1
FL-107,Putnam County,71.7
FL-109,St. Johns County,71.2
FL-111,St. Lucie County,74.7
FL-113,Santa Rosa County,68.3
FL-115,Sarasota County,74.7
FL-117,Seminole County,73.7
FL-119,Sumter County,72.5
FL-121,Suwannee County,69.7
FL-123,Taylor County,69.8
FL-125,Union County,70.2
FL-127,Volusia County,73
FL-129,Wakulla County,69.6
FL-131,Walton County,68.4
FL-133,Washington County,69
GA-001,Appling County,68.4
GA-003,Atkinson County,68.4
GA-005,Bacon County,68.5
GA-007,Baker County,68.8
GA-009,Baldwin County,65.4
GA-011,Banks County,62
GA-013,Barrow County,62.4
GA-015,Bartow County,62.1
GA-017,Ben Hill County,67.8
GA-019,Berrien County,68.2
GA-021,Bibb County,65.5
GA-023,Bleckley County,66.6
GA-025,Brantley County,68.7
GA-027,Brooks County,68.5
GA-029,Bryan County,68.4
GA-031,Bulloch County,67.6
GA-033,Burke County,66.1
GA-035,Butts County,63.8
GA-037,Calhoun County,68.2
GA-039,Camden County,69.6
GA-043,Candler County,67.5
GA-045,Carroll County,61.9
GA-047,Catoosa County,61.4
GA-049,Charlton County,69.4
GA-051,Chatham County,68.4
GA-053,Chattahoochee County,66.2
GA-055,Chattooga County,61.8
GA-057,Cherokee County,61.4
GA-059,Clarke County,62.8
GA-061,Clay County,67.8
GA-063,Clayton County,63.1
GA-065,Clinch County,68.9
GA-067,Cobb County,62.2
GA-069,Coffee County,68.2
GA-071,Colquitt County,68.1
GA-073,Columbia County,65.3
GA-075,Cook County,68.2
GA-077,Coweta County,63
GA-079,Crawford County,65.4
GA-081,Crisp County,67.1
GA-083,Dade County,60.4
GA-085,Dawson County,60.1
GA-087,Decatur County,69
GA-089,DeKalb County,62.7
GA-091,Dodge County,67.1
GA-093,Dooly County,66.7
GA-095,Dougherty County,68.4
GA-097,Douglas County,62.2
GA-099,Early County,68.4
GA-101,Echols County,68.9
GA-103,Effingham County,67.5
GA-105,Elbert County,63
GA-107,Emanuel County,67
GA-109,Evans County,68
GA-111,Fannin County,57.6
GA-113,Fayette County,63.1
GA-115,Floyd County,62.4
GA-117,Forsyth County,61.2
GA-119,Franklin County,62.3
GA-121,Fulton County,62.4
GA-123,Gilmer County,58.7
GA-125,Glascock County,65.3
GA-127,Glynn County,69.5
GA-129,Gordon County,62
GA-131,Grady County,68.8
GA-133,Greene County,63.9
GA-135,Gwinnett County,62.1
GA-137,Habersham County,60.2
GA-139,Hall County,61.4
GA-141,Hancock County,64.9
GA-143,Haralson County,61.3
GA-145,Harris County,64.7
GA-147,Hart County,62.6
GA-149,Heard County,63
GA-151,Henry County,63.4
GA-153,Houston County,66.3
GA-155,Irwin County,67.8
GA-157,Jackson County,62.4
GA-159,Jasper County,64
GA-161,Jeff Davis County,68.1
GA-163,Jefferson County,65.9
GA-165,Jenkins County,66.5
GA-167,Johnson County,66.6
GA-169,Jones County,64.9
GA-171,Lamar County,63.9
GA-173,Lanier County,68.4
GA-175,Laurens County,67.1
GA-177,Lee County,67.8
GA-179,Liberty County,68.7
GA-181,Lincoln County,64.5
GA-183,Long County,68.8
GA-185,Lowndes County,68.5
GA-187,Lumpkin County,59.3
GA-189,McDuffie County,64.8
GA-191,McIntosh County,69.2
GA-193,Macon County,66.3
GA-195,Madison County,62.4
GA-197,Marion County,65.9
GA-199,Meriwether County,63.7
GA-201,Miller County,68.8
GA-205,Mitchell County,68.6
GA-207,Monroe County,64.4
GA-209,Montgomery County,67.9
GA-211,Morgan County,63.6
GA-213,Murray County,60.8
GA-215,Muscogee County,65.9
GA-217,Newton County,63.4
GA-219,Oconee County,63.1
GA-221,Oglethorpe County,63.1
GA-223,Paulding County,61.9
GA-225,Peach County,65.8
GA-227,Pickens County,60.3
GA-229,Pierce County,68.7
GA-231,Pike County,63.7
GA-233,Polk County,62
GA-235,Pulaski County,66.8
GA-237,Putnam County,64.4
GA-239,Quitman County,67.2
GA-241,Rabun County,57.9
GA-243,Randolph County,67.2
GA-245,Richmond County,66
GA-247,Rockdale County,63.1
GA-249,Schley County,66.3
GA-251,Screven County,66.7
GA-253,Seminole County,69
GA-255,Spalding County,63.5
GA-257,Stephens County,62.1
GA-259,Stewart County,66.5
GA-261,Sumter County,67
GA-263,Talbot County,64.9
GA-265,Taliaferro County,64.2
GA-267,Tattnall County,68.2
GA-269,Taylor County,65.6
GA-271,Telfair County,67.8
GA-273,Terrell County,67.5
GA-275,Thomas County,68.6
GA-277,Tift County,67.8
GA-279,Toombs County,68
GA-281,Towns County,57
GA-283,Treutlen County,67.4
GA-285,Troup County,63.8
GA-287,Turner County,67.3
GA-289,Twiggs County,66.2
GA-291,Union County,57.3
GA-293,Upson County,64.6
GA-295,Walker County,61
GA-297,Walton County,62.8
GA-299,Ware County,69
GA-301,Warren County,64.8
GA-303,Washington County,66
GA-305,Wayne County,68.7
GA-307,Webster County,66.5
GA-309,Wheeler County,67.9
GA-311,White County,59.4
