Location ID,Location,Value
AL-001,Autauga County,64.3
AL-003,Baldwin County,67.6
AL-005,Barbour County,65.1
AL-007,Bibb County,63.3
AL-009,Blount County,61.5
AL-011,Bullock County,64.6
AL-013,Butler County,64.9
AL-015,Calhoun County,61.4
AL-017,Chambers County,62.1
AL-019,Cherokee County,60.8
AL-021,Chilton County,63.2
AL-023,Choctaw County,65
AL-025,Clarke County,65.6
AL-027,Clay County,61
AL-029,Cleburne County,60.2
AL-031,Coffee County,65.8
AL-033,Colbert County,60.8
AL-035,Conecuh County,65.5
AL-037,Coosa County,62.6
AL-039,Covington County,65.6
AL-041,Crenshaw County,64.8
AL-043,Cullman County,61
AL-045,Dale County,66.2
AL-047,Dallas County,64.9
AL-049,DeKalb County,59.4
AL-051,Elmore County,64.1
AL-053,Escambia County,66.2
AL-055,Etowah County,61.5
AL-057,Fayette County,62.5
AL-059,Franklin County,60.6
AL-061,Geneva County,66.3
AL-063,Greene County,64.1
AL-065,Hale County,64.1
AL-067,Henry County,66
AL-069,Houston County,67
AL-071,Jackson County,59.6
AL-073,Jefferson County,62.5
AL-075,Lamar County,62.7
AL-077,Lauderdale County,60.2
AL-079,Lawrence County,60.6
AL-081,Lee County,63.4
AL-083,Limestone County,60.5
AL-085,Lowndes County,65.1
AL-087,Macon County,64.5
AL-089,Madison County,60.4
AL-091,Marengo County,64.8
AL-093,Marion County,61.3
AL-095,Marshall County,60.8
AL-097,Mobile County,67.3
AL-099,Monroe County,65.5
AL-101,Montgomery County,64.9
AL-103,Morgan County,60.8
AL-105,Perry County,64.1
AL-107,Pickens County,63.5
AL-109,Pike County,65.1
AL-111,Randolph County,60.9
AL-113,Russell County,64.6
AL-115,St. Clair County,61.8
AL-117,Shelby County,62.6
AL-119,Sumter County,64.3
AL-121,Talladega County,62
AL-123,Tallapoosa County,62.5
AL-125,Tuscaloosa County,63.4
AL-127,Walker County,62.1
AL-129,Washington County,66.1
AL-131,Wilcox County,65.2
AL-133,Winston County,60.7
AZ-001,Apache County,52
AZ-003,Cochise County,62.3
AZ-005,Coconino County,54.3
AZ-007,Gila County,61.1
AZ-009,Graham County,62.3
AZ-011,Greenlee County,57.6
AZ-012,La Paz County,72.6
AZ-013,Maricopa County,71.4
AZ-015,Mohave County,63.8
AZ-017,Navajo County,53.7
AZ-019,Pima County,68.7
AZ-021,Pinal County,69.7
AZ-023,Santa Cruz County,61.9
AZ-025,Yavapai County,60.7
AZ-027,Yuma County,73.2
AR-001,Arkansas County,62.6
AR-003,Ashley County,63.7
AR-005,Baxter County,57.8
AR-007,Benton County,57.6
AR-009,Boone County,57.2
AR-011,Bradley County,63.2
AR-013,Calhoun County,62.9
AR-015,Carroll County,57.2
AR-017,Chicot County,64
AR-019,Clark County,62.2
AR-021,Clay County,59
AR-023,Cleburne County,59.9
AR-025,Cleveland County,62.7
AR-027,Columbia County,63.7
AR-029,Conway County,60.8
AR-031,Craighead County,60
AR-033,Crawford County,59.7
AR-035,Crittenden County,62.1
AR-037,Cross County,61.4
AR-039,Dallas County,62.4
AR-041,Desha County,63
AR-043,Drew County,63.1
AR-045,Faulkner County,61.1
AR-047,Franklin County,59.8
AR-049,Fulton County,57.3
AR-051,Garland County,61.1
AR-053,Grant County,62.5
AR-055,Greene County,59.4
AR-057,Hempstead County,62.6
AR-059,Hot Spring County,62.1
AR-061,Howard County,61.4
AR-063,Independence County,59.8
AR-065,Izard County,58.5
AR-067,Jackson County,60.3
AR-069,Jefferson County,62.5
AR-071,Johnson County,59.1
AR-073,Lafayette County,63.9
AR-075,Lawrence County,59.2
AR-077,Lee County,62.2
AR-079,Lincoln County,62.7
AR-081,Little River County,63
AR-083,Logan County,60.9
AR-085,Lonoke County,62
AR-087,Madison County,56.7
AR-089,Marion County,57.8
AR-091,Miller County,64
AR-093,Mississippi County,60.7
AR-095,Monroe County,62.2
AR-097,Montgomery County,60.4
AR-099,Nevada County,62.6
AR-101,Newton County,56.8
AR-103,Ouachita County,62.9
AR-105,Perry County,61.3
AR-107,Phillips County,62.6
AR-109,Pike County,61.2
AR-111,Poinsett County,60.6
AR-113,Polk County,59.7
AR-115,Pope County,59.7
AR-117,Prairie County,62
AR-119,Pulaski County,61.9
AR-121,Randolph County,58.4
AR-123,St. Francis County,61.9
AR-125,Saline County,61.6
AR-127,Scott County,60.3
AR-129,Searcy County,57.9
AR-131,Sebastian County,61
AR-133,Sevier County,61.9
AR-135,Sharp County,58.2
AR-137,Stone County,58.8
AR-139,Union County,63.7
AR-141,Van Buren County,59
AR-143,Washington County,57.4
AR-145,White County,61.1
AR-147,Woodruff County,61.3
AR-149,Yell County,61.2
CA-001,Alameda County,59
CA-003,Alpine County,44.4
CA-005,Amador County,57.5
CA-007,Butte County,59.2
CA-009,Calaveras County,58
CA-011,Colusa County,60.8
CA-013,Contra Costa County,59.9
CA-015,Del Norte County,52.3
CA-017,El Dorado County,54
CA-019,Fresno County,55.7
CA-021,Glenn County,59.5
CA-023,Humboldt County,54.2
CA-025,Imperial County,74.1
CA-027,Inyo County,61.6
CA-029,Kern County,62.2
CA-031,Kings County,63.9
CA-033,Lake County,56.8
CA-035,Lassen County,47.2
CA-037,Los Angeles County,61.9
CA-039,Madera County,56.5
CA-041,Marin County,55.7
CA-043,Mariposa County,55.4
CA-045,Mendocino County,55.2
CA-047,Merced County,62.4
CA-049,Modoc County,46.9
CA-051,Mono County,45
CA-053,Monterey County,58.6
CA-055,Napa County,59.3
CA-057,Nevada County,52.1
CA-059,Orange County,64.1
CA-061,Placer County,53.6
CA-063,Plumas County,47.7
CA-065,Riverside County,68.7
CA-067,Sacramento County,61.7
CA-069,San Benito County,58.7
CA-071,San Bernardino County,67.2
CA-073,San Diego County,63.1
CA-075,San Francisco County,56.9
CA-077,San Joaquin County,61.6
CA-079,San Luis Obispo County,59.4
CA-081,San Mateo County,56.6
CA-083,Santa Barbara County,58.5
CA-085,Santa Clara County,58.2
CA-087,Santa Cruz County,57
CA-089,Shasta County,55
CA-091,Sierra County,47.4
