Location ID,Location,Value
AL-001,Autauga County,64.1
AL-003,Baldwin County,66.7
AL-005,Barbour County,64.8
AL-007,Bibb County,62.8
AL-009,Blount County,60.8
AL-011,Bullock County,64.4
AL-013,Butler County,64.4
AL-015,Calhoun County,61.1
AL-017,Chambers County,61.9
AL-019,Cherokee County,60.4
AL-021,Chilton County,63
AL-023,Choctaw County,64.5
AL-025,Clarke County,64.9
AL-027,Clay County,60.5
AL-029,Cleburne County,60
AL-031,Coffee County,65.1
AL-033,Colbert County,59.9
AL-035,Conecuh County,65
AL-037,Coosa County,62.3
AL-039,Covington County,65.4
AL-041,Crenshaw County,64.3
AL-043,Cullman County,60.3
AL-045,Dale County,65.4
AL-047,Dallas County,64.5
AL-049,DeKalb County,58.9
AL-051,Elmore County,63.9
AL-053,Escambia County,65.7
AL-055,Etowah County,60.7
AL-057,Fayette County,61.5
AL-059,Franklin County,59.6
AL-061,Geneva County,65.8
AL-063,Greene County,63.8
AL-065,Hale County,63.8
AL-067,Henry County,65.6
AL-069,Houston County,66.4
AL-071,Jackson County,59.1
AL-073,Jefferson County,62.1
AL-075,Lamar County,61.4
AL-077,Lauderdale County,59.4
AL-079,Lawrence County,59.8
AL-081,Lee County,63.3
AL-083,Limestone County,59.5
AL-085,Lowndes County,64.7
AL-087,Macon County,64.3
AL-089,Madison County,59.4
AL-091,Marengo County,64.4
AL-093,Marion County,60.2
AL-095,Marshall County,60.1
AL-097,Mobile County,66.7
AL-099,Monroe County,64.9
AL-101,Montgomery County,64.6
AL-103,Morgan County,59.9
AL-105,Perry County,63.8
AL-107,Pickens County,62.7
AL-109,Pike County,64.6
AL-111,Randolph County,60.5
AL-113,Russell County,64.5
AL-115,St. Clair County,61.4
AL-117,Shelby County,62.3
AL-119,Sumter County,64
AL-121,Talladega County,61.8
AL-123,Tallapoosa County,62.2
AL-125,Tuscaloosa County,62.8
AL-127,Walker County,61.6
AL-129,Washington County,65.4
AL-131,Wilcox County,64.6
AL-133,Winston County,59.9
AZ-001,Apache County,51
AZ-003,Cochise County,61.8
AZ-005,Coconino County,53.3
AZ-007,Gila County,60.2
AZ-009,Graham County,61.4
AZ-011,Greenlee County,56.8
AZ-012,La Paz County,72.4
AZ-013,Maricopa County,71.2
AZ-015,Mohave County,63
AZ-017,Navajo County,52.7
AZ-019,Pima County,68
AZ-021,Pinal County,69.3
AZ-023,Santa Cruz County,61.3
AZ-025,Yavapai County,60.1
AZ-027,Yuma County,73.3
AR-001,Arkansas County,62.1
AR-003,Ashley County,63.8
AR-005,Baxter County,57.4
AR-007,Benton County,57.1
AR-009,Boone County,56.7
AR-011,Bradley County,63.1
AR-013,Calhoun County,62.9
AR-015,Carroll County,56.6
AR-017,Chicot County,64
AR-019,Clark County,62
AR-021,Clay County,58.8
AR-023,Cleburne County,59.4
AR-025,Cleveland County,62.7
AR-027,Columbia County,63.4
AR-029,Conway County,60.1
AR-031,Craighead County,59.6
AR-033,Crawford County,59
AR-035,Crittenden County,61.1
AR-037,Cross County,60.4
AR-039,Dallas County,62.3
AR-041,Desha County,63
AR-043,Drew County,63.2
AR-045,Faulkner County,60.6
AR-047,Franklin County,59
AR-049,Fulton County,56.8
AR-051,Garland County,60.6
AR-053,Grant County,62.1
AR-055,Greene County,59.1
AR-057,Hempstead County,62.6
AR-059,Hot Spring County,61.5
AR-061,Howard County,61.2
AR-063,Independence County,59.1
AR-065,Izard County,57.8
AR-067,Jackson County,59.8
AR-069,Jefferson County,62.4
AR-071,Johnson County,58.4
AR-073,Lafayette County,63.7
