Location ID,Location,Value
AL-001,Autauga County,63.6
AL-003,Baldwin County,66.1
AL-005,Barbour County,63.9
AL-007,Bibb County,62.5
AL-009,Blount County,60.9
AL-011,Bullock County,63.4
AL-013,Butler County,63.7
AL-015,Calhoun County,61.1
AL-017,Chambers County,61.4
AL-019,Cherokee County,60.5
AL-021,Chilton County,62.6
AL-023,Choctaw County,64.1
AL-025,Clarke County,64.6
AL-027,Clay County,60.6
AL-029,Cleburne County,59.9
AL-031,Coffee County,64.4
AL-033,Colbert County,59.8
AL-035,Conecuh County,64.3
AL-037,Coosa County,62.1
AL-039,Covington County,64.5
AL-041,Crenshaw County,63.4
AL-043,Cullman County,60.3
AL-045,Dale County,64.7
AL-047,Dallas County,64.1
AL-049,DeKalb County,59
AL-051,Elmore County,63.4
AL-053,Escambia County,64.9
AL-055,Etowah County,60.9
AL-057,Fayette County,61.6
AL-059,Franklin County,59.7
AL-061,Geneva County,65.2
AL-063,Greene County,63.5
AL-065,Hale County,63.4
AL-067,Henry County,64.7
AL-069,Houston County,65.4
AL-071,Jackson County,59.2
AL-073,Jefferson County,61.9
AL-075,Lamar County,61.8
AL-077,Lauderdale County,59.4
AL-079,Lawrence County,59.6
AL-081,Lee County,62.7
AL-083,Limestone County,59.7
AL-085,Lowndes County,64
AL-087,Macon County,63.6
AL-089,Madison County,60
AL-091,Marengo County,64.1
AL-093,Marion County,60.4
AL-095,Marshall County,60.4
AL-097,Mobile County,65.8
AL-099,Monroe County,64.4
AL-101,Montgomery County,63.9
AL-103,Morgan County,60.2
AL-105,Perry County,63.3
AL-107,Pickens County,62.8
AL-109,Pike County,63.5
AL-111,Randolph County,60.4
AL-113,Russell County,63.8
AL-115,St. Clair County,61.3
AL-117,Shelby County,62
AL-119,Sumter County,63.7
AL-121,Talladega County,61.7
AL-123,Tallapoosa County,61.8
AL-125,Tuscaloosa County,62.7
AL-127,Walker County,61.5
AL-129,Washington County,64.8
AL-131,Wilcox County,64.4
AL-133,Winston County,59.9
AZ-001,Apache County,50.4
AZ-003,Cochise County,61.3
AZ-005,Coconino County,52.6
AZ-007,Gila County,59.8
AZ-009,Graham County,61
AZ-011,Greenlee County,56.2
AZ-012,La Paz County,71.5
AZ-013,Maricopa County,70.8
AZ-015,Mohave County,62.2
AZ-017,Navajo County,52
AZ-019,Pima County,67.8
AZ-021,Pinal County,69
AZ-023,Santa Cruz County,61
AZ-025,Yavapai County,59.4
AZ-027,Yuma County,72.3
AR-001,Arkansas County,62.9
AR-003,Ashley County,63.8
AR-005,Baxter County,58.3
AR-007,Benton County,57.9
AR-009,Boone County,57.5
AR-011,Bradley County,63.2
AR-013,Calhoun County,62.9
AR-015,Carroll County,57.5
AR-017,Chicot County,64.2
AR-019,Clark County,62.5
AR-021,Clay County,59.7
AR-023,Cleburne County,59.9
AR-025,Cleveland County,63
AR-027,Columbia County,63.5
AR-029,Conway County,61.3
AR-031,Craighead County,60.7
AR-033,Crawford County,60.2
AR-035,Crittenden County,62.2
AR-037,Cross County,61.8
AR-039,Dallas County,62.7
AR-041,Desha County,63.4
AR-043,Drew County,63.4
AR-045,Faulkner County,61.6
AR-047,Franklin County,60
AR-049,Fulton County,57.9
AR-051,Garland County,61.3
AR-053,Grant County,62.8
AR-055,Greene County,60
AR-057,Hempstead County,62.9
AR-059,Hot Spring County,62.2
AR-061,Howard County,61.8
AR-063,Independence County,59.9
AR-065,Izard County,58.4
AR-067,Jackson County,60.8
AR-069,Jefferson County,62.9
AR-071,Johnson County,59.3
AR-073,Lafayette County,63.8
AR-075,Lawrence County,59.6
AR-077,Lee County,62.6
AR-079,Lincoln County,63.1
AR-081,Little River County,63.2
AR-083,Logan County,60.9
AR-085,Lonoke County,62.3
AR-087,Madison County,56.9
AR-089,Marion County,58.1
AR-091,Miller County,64
AR-093,Mississippi County,61.1
AR-095,Monroe County,62.5
AR-097,Montgomery County,60.5
AR-099,Nevada County,63
AR-101,Newton County,57.1
AR-103,Ouachita County,63
AR-105,Perry County,61.7
AR-107,Phillips County,62.9
AR-109,Pike County,61.4
AR-111,Poinsett County,61.3
AR-113,Polk County,59.8
AR-115,Pope County,60
AR-117,Prairie County,62.3
AR-119,Pulaski County,62.4
AR-121,Randolph County,58.9
AR-123,St. Francis County,62.2
AR-125,Saline County,62
AR-127,Scott County,60.4
AR-129,Searcy County,58
AR-131,Sebastian County,61.3
AR-133,Sevier County,62.3
AR-135,Sharp County,58.5
AR-137,Stone County,58.6
AR-139,Union County,63.4
AR-141,Van Buren County,59.2
AR-143,Washington County,57.9
AR-145,White County,61.3
AR-147,Woodruff County,61.8
AR-149,Yell County,61.4
CA-001,Alameda County,58.3
CA-003,Alpine County,42.9
CA-005,Amador County,56.6
CA-007,Butte County,58.6
CA-009,Calaveras County,57
CA-011,Colusa County,60.3
CA-013,Contra Costa County,59
CA-015,Del Norte County,51.9
CA-017,El Dorado County,52.7
CA-019,Fresno County,54.6
CA-021,Glenn County,59
CA-023,Humboldt County,53.8
CA-025,Imperial County,73.4
CA-027,Inyo County,60.1
CA-029,Kern County,61
CA-031,Kings County,63
CA-033,Lake County,55.7
CA-035,Lassen County,46.6
CA-037,Los Angeles County,60.6
CA-039,Madera County,55.2
CA-041,Marin County,55.2
CA-043,Mariposa County,54.1
CA-045,Mendocino County,54.6
CA-047,Merced County,61.5
CA-049,Modoc County,46.2
CA-051,Mono County,43.2
CA-053,Monterey County,57.9
CA-055,Napa County,58.4
CA-057,Nevada County,51
CA-059,Orange County,63.1
CA-061,Placer County,52.5
CA-063,Plumas County,46.9
CA-065,Riverside County,67.6
CA-067,Sacramento County,61.1
CA-069,San Benito County,57.9
CA-071,San Bernardino County,65.7
CA-073,San Diego County,61.8
CA-075,San Francisco County,56.3
CA-077,San Joaquin County,61
CA-079,San Luis Obispo County,58.6
CA-081,San Mateo County,56.2
CA-083,Santa Barbara County,57.5
CA-085,Santa Clara County,57.5
CA-087,Santa Cruz County,56.4
CA-089,Shasta County,53.9
CA-091,Sierra County,46.3
CA-093,Siskiyou County,48.1
CA-095,Solano County,60
CA-097,Sonoma County,56.1
CA-099,Stanislaus County,60.4
CA-101,Sutter County,62
CA-103,Tehama County,57.2
CA-105,Trinity County,51.8
CA-107,Tulare County,53.6
CA-109,Tuolumne County,48.9
CA-111,Ventura County,56.8
CA-113,Yolo County,61
CA-115,Yuba County,59.5
CO-001,Adams County,50.1
CO-003,Alamosa County,43.7
CO-005,Arapahoe County,49.6
CO-007,Archuleta County,43.7
CO-009,Baca County,54.6
CO-011,Bent County,54.7
CO-013,Boulder County,45
CO-014,Broomfield County,51
CO-015,Chaffee County,38.5
CO-017,Cheyenne County,52.4
CO-019,Clear Creek County,37.5
CO-021,Conejos County,40.7
CO-023,Costilla County,42.7
CO-025,Crowley County,52.9
CO-027,Custer County,42.1
CO-029,Delta County,47.1
CO-031,Denver County,51.2
CO-033,Dolores County,43.1
CO-035,Douglas County,47.5
CO-037,Eagle County,39.7
CO-039,Elbert County,48.1
CO-041,El Paso County,48.5
CO-043,Fremont County,46.1
CO-045,Garfield County,43.5
CO-047,Gilpin County,39.6
CO-049,Grand County,37.4
CO-051,Gunnison County,38.8
CO-053,Hinsdale County,35.8
CO-055,Huerfano County,47.5
CO-057,Jackson County,36.8
CO-059,Jefferson County,46.7
CO-061,Kiowa County,53.6
CO-063,Kit Carson County,51.8
CO-065,Lake County,34.6
CO-067,La Plata County,44.4
CO-069,Larimer County,42.5
CO-071,Las Animas County,51.8
CO-073,Lincoln County,50.3
CO-075,Logan County,50.8
CO-077,Mesa County,47.5
CO-079,Mineral County,36.6
CO-081,Moffat County,43.9
CO-083,Montezuma County,48.3
CO-085,Montrose County,47.7
CO-087,Morgan County,50.4
CO-089,Otero County,54.4
CO-091,Ouray County,41.9
CO-093,Park County,38.5
CO-095,Phillips County,50.8
CO-097,Pitkin County,38.2
CO-099,Prowers County,54.8
CO-101,Pueblo County,52.9
CO-103,Rio Blanco County,44.2
CO-105,Rio Grande County,39.8
CO-107,Routt County,39.7
CO-109,Saguache County,40
CO-111,San Juan County,35
CO-113,San Miguel County,44.8
CO-115,Sedgwick County,50.5
CO-117,Summit County,35.8
CO-119,Teller County,40.4
CO-121,Washington County,50.7
CO-123,Weld County,49.3
CO-125,Yuma County,51.8
CT-001,Fairfield County,52.5
CT-003,Hartford County,52
CT-005,Litchfield County,49.3
CT-007,Middlesex County,52.3
CT-009,New Haven County,52
CT-011,New London County,52
CT-013,Tolland County,50.9
CT-015,Windham County,50.7
DE-001,Kent County,56.6
DE-003,New Castle County,56
DE-005,Sussex County,57
FL-001,Alachua County,67.7
FL-003,Baker County,66.6
FL-005,Bay County,66.5
FL-007,Bradford County,67.3
FL-009,Brevard County,70.5
FL-011,Broward County,73.6
FL-013,Calhoun County,65.8
FL-015,Charlotte County,71.7
FL-017,Citrus County,68.6
FL-019,Clay County,67.7
FL-021,Collier County,73.4
FL-023,Columbia County,66.5
FL-027,DeSoto County,70.5
FL-029,Dixie County,67.1
FL-031,Duval County,67.3
FL-033,Escambia County,66.1
FL-035,Flagler County,68.7
FL-037,Franklin County,66.6
FL-039,Gadsden County,65.6
FL-041,Gilchrist County,67
FL-043,Glades County,71.6
FL-045,Gulf County,66.3
FL-047,Hamilton County,66.1
FL-049,Hardee County,70.1
FL-051,Hendry County,72.5
FL-053,Hernando County,69
FL-055,Highlands County,70.6
FL-057,Hillsborough County,70.5
FL-059,Holmes County,65.6
FL-061,Indian River County,70.4
FL-063,Jackson County,65.8
FL-065,Jefferson County,66
FL-067,Lafayette County,66.3
FL-069,Lake County,69.5
FL-071,Lee County,72.8
FL-073,Leon County,66
FL-075,Levy County,67.9
FL-077,Liberty County,65.9
FL-079,Madison County,65.9
FL-081,Manatee County,70.7
FL-083,Marion County,68.6
FL-085,Martin County,71.7
FL-086,Miami-Dade County,74
FL-087,Monroe County,74.4
FL-089,Nassau County,66.8
FL-091,Okaloosa County,65.4
FL-093,Okeechobee County,70.7
FL-095,Orange County,70.2
FL-097,Osceola County,70.4
FL-099,Palm Beach County,72.7
FL-101,Pasco County,69.5
FL-103,Pinellas County,71
FL-105,Polk County,70.4
FL-107,Putnam County,68.4
FL-109,St. Johns County,68.1
FL-111,St. Lucie County,71
FL-113,Santa Rosa County,65.8
FL-115,Sarasota County,71.4
FL-117,Seminole County,70.1
FL-119,Sumter County,69
FL-121,Suwannee County,66.2
FL-123,Taylor County,66.3
FL-125,Union County,66.9
FL-127,Volusia County,69.6
FL-129,Wakulla County,66.3
FL-131,Walton County,65.5
FL-133,Washington County,66
GA-001,Appling County,65.2
GA-003,Atkinson County,65.1
GA-005,Bacon County,65.2
GA-007,Baker County,65.3
GA-009,Baldwin County,62.8
GA-011,Banks County,60.3
GA-013,Barrow County,60.4
GA-015,Bartow County,60.3
GA-017,Ben Hill County,64.7
GA-019,Berrien County,64.7
GA-021,Bibb County,62.9
GA-023,Bleckley County,63.9
GA-025,Brantley County,65.5
GA-027,Brooks County,65.2
GA-029,Bryan County,65.5
GA-031,Bulloch County,64.8
GA-033,Burke County,63.6
GA-035,Butts County,61.7
GA-037,Calhoun County,64.9
GA-039,Camden County,66.4
GA-043,Candler County,64.8
GA-045,Carroll County,60
GA-047,Catoosa County,59.5
GA-049,Charlton County,66.3
GA-051,Chatham County,65.7
GA-053,Chattahoochee County,63.6
GA-055,Chattooga County,59.9
GA-057,Cherokee County,59.7
GA-059,Clarke County,60.8
GA-061,Clay County,64.6
GA-063,Clayton County,61.4
GA-065,Clinch County,65.7
GA-067,Cobb County,60.5
GA-069,Coffee County,65
GA-071,Colquitt County,64.6
GA-073,Columbia County,62.7
GA-075,Cook County,64.7
GA-077,Coweta County,61.1
GA-079,Crawford County,62.7
GA-081,Crisp County,64.1
GA-083,Dade County,58.5
GA-085,Dawson County,58.2
GA-087,Decatur County,65.4
GA-089,DeKalb County,60.9
GA-091,Dodge County,64.2
GA-093,Dooly County,63.8
GA-095,Dougherty County,65.1
GA-097,Douglas County,60.5
GA-099,Early County,65.1
GA-101,Echols County,65.9
GA-103,Effingham County,64.9
GA-105,Elbert County,60.9
GA-107,Emanuel County,64.3
GA-109,Evans County,65.2
GA-111,Fannin County,55.5
GA-113,Fayette County,61.3
GA-115,Floyd County,60.5
GA-117,Forsyth County,59.5
GA-119,Franklin County,60.4
GA-121,Fulton County,60.7
GA-123,Gilmer County,56.6
GA-125,Glascock County,62.6
GA-127,Glynn County,66.2
GA-129,Gordon County,60.1
GA-131,Grady County,65.3
GA-133,Greene County,61.5
GA-135,Gwinnett County,60.3
GA-137,Habersham County,58.4
GA-139,Hall County,59.6
GA-141,Hancock County,62.3
GA-143,Haralson County,59.4
GA-145,Harris County,62.3
GA-147,Hart County,60.5
GA-149,Heard County,60.8
GA-151,Henry County,61.5
GA-153,Houston County,63.6
GA-155,Irwin County,64.6
GA-157,Jackson County,60.5
GA-159,Jasper County,61.6
GA-161,Jeff Davis County,64.9
GA-163,Jefferson County,63.2
GA-165,Jenkins County,64
GA-167,Johnson County,63.7
GA-169,Jones County,62.4
GA-171,Lamar County,61.8
GA-173,Lanier County,65.2
GA-175,Laurens County,64
GA-177,Lee County,64.5
GA-179,Liberty County,65.8
GA-181,Lincoln County,62
GA-183,Long County,65.7
GA-185,Lowndes County,65.4
GA-187,Lumpkin County,57.2
GA-189,McDuffie County,62.2
GA-191,McIntosh County,66.2
GA-193,Macon County,63.3
GA-195,Madison County,60.4
GA-197,Marion County,62.9
GA-199,Meriwether County,61.4
GA-201,Miller County,65.3
GA-205,Mitchell County,65.1
GA-207,Monroe County,62
GA-209,Montgomery County,64.7
GA-211,Morgan County,61.3
GA-213,Murray County,58.8
GA-215,Muscogee County,63.5
GA-217,Newton County,61.1
GA-219,Oconee County,60.9
GA-221,Oglethorpe County,60.9
GA-223,Paulding County,60.1
GA-225,Peach County,63.1
GA-227,Pickens County,58.3
GA-229,Pierce County,65.5
GA-231,Pike County,61.7
GA-233,Polk County,60.2
GA-235,Pulaski County,64.2
GA-237,Putnam County,61.9
GA-239,Quitman County,64.1
GA-241,Rabun County,56.2
GA-243,Randolph County,63.9
GA-245,Richmond County,63.3
GA-247,Rockdale County,61
GA-249,Schley County,63
GA-251,Screven County,64.2
GA-253,Seminole County,65.5
GA-255,Spalding County,61.7
GA-257,Stephens County,60.3
GA-259,Stewart County,63.5
GA-261,Sumter County,63.6
GA-263,Talbot County,62.4
GA-265,Taliaferro County,61.6
GA-267,Tattnall County,65.2
GA-269,Taylor County,62.7
GA-271,Telfair County,64.8
GA-273,Terrell County,64.1
GA-275,Thomas County,65.1
GA-277,Tift County,64.2
GA-279,Toombs County,65
GA-281,Towns County,55
GA-283,Treutlen County,64.5
GA-285,Troup County,61.5
GA-287,Turner County,64.1
GA-289,Twiggs County,63.4
GA-291,Union County,55.1
GA-293,Upson County,62.1
GA-295,Walker County,59
GA-297,Walton County,60.6
GA-299,Ware County,65.8
GA-301,Warren County,62.1
GA-303,Washington County,63.2
GA-305,Wayne County,65.5
GA-307,Webster County,63.2
GA-309,Wheeler County,64.7
GA-311,White County,57.4
GA-313,Whitfield County,59.5
GA-315,Wilcox County,64.4
GA-317,Wilkes County,61.5
GA-319,Wilkinson County,63.5
GA-321,Worth County,64.4
ID-001,Ada County,51.6
ID-003,Adams County,43.2
ID-005,Bannock County,44.2
ID-007,Bear Lake County,40.6
ID-009,Benewah County,46
ID-011,Bingham County,43.7
ID-013,Blaine County,41.5
ID-015,Boise County,43.3
ID-017,Bonner County,43.7
ID-019,Bonneville County,41.6
ID-021,Boundary County,41.3
ID-023,Butte County,40.9
ID-025,Camas County,40.6
ID-027,Canyon County,51.9
ID-029,Caribou County,41.6
ID-031,Cassia County,45.7
ID-033,Clark County,40
ID-035,Clearwater County,43.9
ID-037,Custer County,37.6
ID-039,Elmore County,46.5
ID-041,Franklin County,44
ID-043,Fremont County,39.7
ID-045,Gem County,48.8
ID-047,Gooding County,48.1
ID-049,Idaho County,42
ID-051,Jefferson County,43
ID-053,Jerome County,48.4
ID-055,Kootenai County,45.8
ID-057,Latah County,46.6
ID-059,Lemhi County,39
ID-061,Lewis County,45.9
ID-063,Lincoln County,46
ID-065,Madison County,42
ID-067,Minidoka County,46.1
ID-069,Nez Perce County,48.9
ID-071,Oneida County,45.5
ID-073,Owyhee County,47.2
ID-075,Payette County,51.1
ID-077,Power County,45
ID-079,Shoshone County,42.9
ID-081,Teton County,39.5
ID-083,Twin Falls County,47.5
ID-085,Valley County,39.1
ID-087,Washington County,47.3
IL-001,Adams County,53
IL-003,Alexander County,58
IL-005,Bond County,54.9
IL-007,Boone County,49.2
IL-009,Brown County,52.9
IL-011,Bureau County,50.6
IL-013,Calhoun County,54.7
IL-015,Carroll County,49.5
IL-017,Cass County,53
IL-019,Champaign County,52.1
IL-021,Christian County,53.4
IL-023,Clark County,54
IL-025,Clay County,55.1
IL-027,Clinton County,55.5
IL-029,Coles County,53.5
IL-031,Cook County,51.1
IL-033,Crawford County,54.9
IL-035,Cumberland County,54.1
IL-037,DeKalb County,49.6
IL-039,De Witt County,51.9
IL-041,Douglas County,53.1
IL-043,DuPage County,50.7
IL-045,Edgar County,53.1
IL-047,Edwards County,56.2
IL-049,Effingham County,54.6
IL-051,Fayette County,54.6
IL-053,Ford County,51.2
IL-055,Franklin County,56.2
IL-057,Fulton County,52
IL-059,Gallatin County,57.1
IL-061,Greene County,54.1
IL-063,Grundy County,51.2
IL-065,Hamilton County,56.3
IL-067,Hancock County,52.5
IL-069,Hardin County,57.1
IL-071,Henderson County,51.6
IL-073,Henry County,50.6
IL-075,Iroquois County,51.3
IL-077,Jackson County,56.6
IL-079,Jasper County,54.6
IL-081,Jefferson County,55.5
IL-083,Jersey County,54.9
IL-085,Jo Daviess County,49
IL-087,Johnson County,57.1
IL-089,Kane County,50
IL-091,Kankakee County,51.2
IL-093,Kendall County,50.9
IL-095,Knox County,51
IL-097,Lake County,49.9
IL-099,LaSalle County,50.8
IL-101,Lawrence County,55.6
IL-103,Lee County,49.8
IL-105,Livingston County,51.2
IL-107,Logan County,52.4
IL-109,McDonough County,51.9
IL-111,McHenry County,49
IL-113,McLean County,51.5
IL-115,Macon County,52.7
IL-117,Macoupin County,54.1
IL-119,Madison County,55.7
IL-121,Marion County,54.9
IL-123,Marshall County,51.3
IL-125,Mason County,52.7
IL-127,Massac County,57.9
IL-129,Menard County,52.9
IL-131,Mercer County,50.9
IL-133,Monroe County,56.6
IL-135,Montgomery County,54
IL-137,Morgan County,53.2
IL-139,Moultrie County,53.2
IL-141,Ogle County,49.4
IL-143,Peoria County,51.8
IL-145,Perry County,56
IL-147,Piatt County,52.4
IL-149,Pike County,53.6
IL-151,Pope County,57.1
IL-153,Pulaski County,58
IL-155,Putnam County,51.3
IL-157,Randolph County,56.4
IL-159,Richland County,55.3
IL-161,Rock Island County,50.8
IL-163,St. Clair County,56.4
IL-165,Saline County,56.6
IL-167,Sangamon County,53.2
IL-169,Schuyler County,52.4
IL-171,Scott County,53.6
