,date,latitude_mean,longitude_mean
0,1990-01-01,10.4288,-84.0128
1,1990-01-03,17.4862562,-92.04238409999999
2,1990-01-21,9.2912336,-79.9072015
3,1990-02-07,10.30702,-84.80974
4,1990-02-08,10.30702,-84.80974
5,1990-02-09,10.304910099999999,-84.8124093
6,1990-02-13,10.3056726,-84.78904720000001
7,1990-02-16,10.4288,-84.0128
8,1990-02-22,10.30702,-84.80974
9,1990-02-23,10.30702,-84.80974
10,1990-02-27,10.28173,-84.04489000000001
11,1990-03-05,10.4288,-84.0128
12,1990-03-08,10.30702,-84.80974
13,1990-03-10,20.875535600000003,-90.3652459
14,1990-03-18,9.271513800000001,-83.88074399999999
15,1990-03-19,17.09582,-89.06938000000001
16,1990-03-20,17.322779999999998,-89.07412
17,1990-03-22,10.3056726,-84.78904720000001
18,1990-03-23,17.153791000000002,-88.68950799999999
19,1990-03-25,10.1608331,-83.9618717
20,1990-03-27,17.261506,-88.787118
21,1990-03-29,17.222479999999997,-89.62307
22,1990-03-31,29.698407300000003,-93.94817950000001
23,1990-04-01,29.236629999999998,-89.98727
24,1990-04-03,29.7903026,-93.3046532
25,1990-04-04,29.7903026,-93.3046532
26,1990-04-07,10.302017900000001,-84.803555
27,1990-04-08,31.216024375,-92.62183382500001
28,1990-04-09,29.5613445,-94.3902236
29,1990-04-11,23.457724599999995,-89.15966863333335
30,1990-04-12,29.5613445,-94.3902236
31,1990-04-13,28.7247953,-88.6138478
32,1990-04-14,32.007195859999996,-91.38669142
33,1990-04-15,34.00645005,-90.08626914999999
34,1990-04-16,29.05742794285714,-93.09647742857142
35,1990-04-18,32.4531293,-92.22554804999999
36,1990-04-19,29.563284250000002,-94.39327985
37,1990-04-20,35.81718805,-85.26769362499999
38,1990-04-21,36.0043032,-85.55013598571428
39,1990-04-22,34.425919755555555,-88.8259998111111
40,1990-04-23,33.85371365,-90.3665758
41,1990-04-24,36.142839755555556,-88.36500607777778
42,1990-04-25,37.58749588333333,-87.66717076666667
43,1990-04-26,37.271007242857145,-86.47628544285715
44,1990-04-27,36.49303218,-83.82056594666666
45,1990-04-28,38.085997593333325,-80.94620576666667
46,1990-04-29,39.536187794871786,-81.8189770897436
47,1990-04-30,39.75996001176472,-82.58085879411766
48,1990-05-01,41.05528691538462,-78.98752614615385
49,1990-05-02,39.80609278,-80.78641638999999
50,1990-05-03,39.19882931666667,-81.241698875
51,1990-05-04,38.6400831076923,-83.27117812307694
52,1990-05-05,39.71935626511627,-80.5942888604651
53,1990-05-06,39.78384875384615,-80.54239517307688
54,1990-05-07,40.21524507222222,-80.2664787
55,1990-05-08,41.03221255555556,-79.59265000277777
56,1990-05-09,41.985637811111104,-76.70757376296295
57,1990-05-10,41.43808025,-77.94510500000001
58,1990-05-11,41.13623878095238,-80.40100970476189
59,1990-05-12,41.45031495344829,-79.11243688620686
60,1990-05-13,42.258972995,-79.32196237499997
61,1990-05-14,41.24424493076921,-79.01989886923076
62,1990-05-15,42.03596551875,-77.91985310000001
63,1990-05-16,42.291710317647066,-77.55988645294119
64,1990-05-17,40.083916725,-80.61954672499999
65,1990-05-18,41.52707067058823,-79.44761102352943
66,1990-05-19,42.0162923981132,-79.29748821320754
67,1990-05-20,41.96372372241379,-80.29151986551723
68,1990-05-21,40.760884707692306,-80.21937183846154
69,1990-05-22,41.00127948749999,-79.99352475
70,1990-05-23,40.944269339999984,-79.75807093199998
71,1990-05-24,42.585038819047625,-77.92752538095239
72,1990-05-25,42.433252784615384,-76.3930149923077
73,1990-05-26,42.96212982857143,-78.03908211428572
74,1990-05-27,42.20945583333334,-76.8958031111111
75,1990-05-28,41.209085814285714,-77.02544549047619
76,1990-05-29,41.51612100000001,-80.54437766666668
77,1990-05-30,42.037765075,-78.056133975
78,1990-05-31,40.8377301375,-79.5775417625
79,1990-06-01,42.16684144166667,-78.419730825
80,1990-06-02,40.79142666315789,-78.36578150526314
81,1990-06-03,42.45220441,-77.50824484
82,1990-06-04,40.071410316666665,-82.68951056666666
83,1990-06-05,39.80348101428571,-82.68565965714286
84,1990-06-06,41.25098749333334,-84.80966105333336
85,1990-06-07,41.791208644444445,-75.61770556666666
86,1990-06-08,42.76949965,-76.32043115833334
87,1990-06-09,40.79663566315789,-79.63184364210525
88,1990-06-10,41.61332635652174,-77.67113081304348
89,1990-06-11,42.5157924,-75.99825573333334
90,1990-06-12,40.9636365,-78.683521875
91,1990-06-13,41.38090112,-78.02992756
92,1990-06-14,44.0758176,-72.38164549999999
93,1990-06-15,40.480365983333336,-79.29673716666666
94,1990-06-16,41.55471368125,-78.48163599375
95,1990-06-17,41.07061600666667,-79.45412183333335
96,1990-06-18,44.76328248333334,-73.32477323333333
97,1990-06-19,40.639646250000006,-80.81487668333332
98,1990-06-20,41.527640628571426,-74.59710205714285
99,1990-06-21,40.642909585714285,-82.04970962857143
100,1990-06-22,43.919668683333335,-74.83350680000001
101,1990-06-23,40.18746784285714,-77.37348757142857
102,1990-06-24,40.58668622857142,-77.96783997142857
103,1990-06-25,40.61401394,-77.37157022
104,1990-06-26,39.7314183875,-79.4345221
105,1990-06-27,40.803404125,-79.21534026249999
106,1990-06-28,41.386910799999995,-78.16380758
107,1990-06-29,42.3861653,-77.93606438750001
108,1990-06-30,41.567344122222224,-78.90659882222222
109,1990-07-01,40.933668822222224,-78.38158225555556
110,1990-07-02,41.899108385714285,-76.59209394285713
111,1990-07-03,43.64277144545456,-78.93580572727272
112,1990-07-04,40.36501225,-79.4458387
113,1990-07-05,41.435684800000004,-78.73774428333333
