year,lon,lat
1990,-82.83747199999999,27.8882461
1990,-83.85023120000001,41.551807000000004
1990,-75.4458618,39.9479768
1990,-78.3728455,43.1307943
1990,-71.146,42.371
1990,-76.34273890000001,39.487312700000004
1990,-70.93840229999999,43.0248057
1990,-91.65249820000001,30.3880374
1990,-77.4681187,39.622185200000004
1990,-73.8785183,43.1271496
1990,-93.0355546,42.1676763
1990,-76.3690253,43.5237609
1990,-74.2392061,41.126808600000004
1990,-81.4060655,41.5174234
1990,-74.7150135,40.7523287
1990,-74.6628358,40.3275414
1990,-72.5129735,42.3902558
1990,-71.5723228,41.5889994
1990,-71.4673385,42.9815167
1990,-74.4200134,39.455149299999995
1990,-85.8911618,41.5432754
1990,-76.7639208,39.2176086
1990,-75.4583287,40.26497929999999
1990,-89.82539890000001,35.140791899999996
1990,-77.80702209999998,42.8705649
1990,-93.45841879999999,36.5347686
1990,-81.3315868,41.6113006
1990,-84.3368968,33.476926899999995
1990,-85.5453444,45.666185799999994
1990,-82.8864762,40.0766914
1990,-81.57374,41.37567
1990,-76.5813629,43.4321845
1990,-71.76590999999999,42.23157
1990,-75.045456,40.002445
1990,-83.9397193,36.004912100000006
1990,-89.40718890000001,35.0590179
1990,-83.78843309999999,41.6680151
1990,-89.82539890000001,35.140791899999996
1990,-76.89305309999999,39.3548743
1990,-98.13513990000001,26.0813003
1990,-75.9436396,40.3897385
1990,-89.53986570000001,35.0548309
1990,-74.0011489,42.8015843
1990,-73.8001093,40.7925985
1990,-84.3863505,42.79982879999999
1990,-83.6011505,40.9913014
1990,-77.0684859,38.97704
1990,-76.89305309999999,39.3548743
1990,-94.487915,29.602118199999996
1990,-72.37527970000001,41.1019273
1990,-70.3675034,43.6929064
1990,-73.8785183,43.1271496
1990,-85.9045048,41.551750399999996
1990,-71.146,42.371
1990,-85.09102299999999,37.1885236
1990,-94.3898535,29.573681
1990,-72.2910047,43.0349936
1990,-73.8785183,43.1271496
1990,-81.5812676,41.4890605
1990,-75.2006316,40.04428060000001
1990,-85.60250759999998,42.2681633
1990,-77.80702209999998,42.8705649
1990,-74.4200134,39.455149299999995
1990,-74.8019171,40.7697193
1990,-75.11102340000001,40.9993797
1990,-89.87564559999998,35.6941419
1990,-94.3902236,29.5613445
1990,-75.4458618,39.9479768
1990,-94.3902236,29.5613445
1990,-84.623449,34.696866
1990,-76.5813629,43.4321845
1990,-73.3560562,41.3502681
1990,-93.83663179999999,35.687627
1990,-75.46955109999999,39.2670818
1990,-81.3113934,41.600589
1990,-83.8406932,36.9376299
1990,-85.60250759999998,42.2681633
1990,-68.70356020000001,44.3161501
1990,-87.58133409999999,41.781201
1990,-82.9589752,40.1151982
1990,-85.2393043,41.0215818
1990,-76.5480405,39.4638334
1990,-84.322,33.777
1990,-90.1410198,35.05958
1990,-81.60559570000001,41.431402899999995
1990,-75.62567709999999,40.8618621
1990,-71.4665365,42.1812465
1990,-71.76590999999999,42.23157
1990,-89.26667020000001,35.4972229
1990,-76.6443157,39.3846668
1990,-76.1340523,43.032007799999995
1990,-76.7761838,39.447246
1990,-97.4176839,25.85233
1990,-91.120863,34.6023403
1990,-83.03271,39.940098
1990,-87.6153075,41.864433899999995
1990,-89.86484890000001,35.090049799999996
1990,-76.7761838,39.447246
1990,-76.6922522,39.6191109
1990,-86.575539,32.432613
1990,-68.2040691,44.309600700000004
1990,-89.85277559999999,35.625
1990,-88.01804320000001,30.229444899999997
1990,-83.92954,34.762356
1990,-94.3902236,29.5613445
1990,-76.34273890000001,39.487312700000004
1990,-77.2833627,39.1907261
1990,-73.70109559999999,42.5282903
1990,-91.2320137,41.719568
1990,-80.478791,35.6898839
1990,-70.8022995,42.763900799999995
1990,-77.9835395,42.6401663
1990,-83.191884,41.627709499999995
1990,-87.9677253,36.107370700000004
